	Length [m]	Value [°C]	
1	0.	521.62	
2	6.25e-008	521.47	
3	1.25e-007	521.32	
4	1.875e-007	521.17	
5	2.5e-007	521.03	
6	3.125e-007	520.88	
7	3.75e-007	520.73	
8	4.375e-007	520.58	
9	5.e-007	520.43	
10	5.625e-007	520.03	
11	6.25e-007	519.62	
12	6.875e-007	519.21	
13	7.5e-007	518.8	
14	8.125e-007	518.39	
15	8.75e-007	517.99	
16	9.375e-007	517.58	
17	1.e-006	517.17	
18	1.0625e-006	516.6	
19	1.125e-006	516.03	
20	1.1875e-006	515.46	
21	1.25e-006	514.88	
22	1.3125e-006	514.31	
23	1.375e-006	513.74	
24	1.4375e-006	513.17	
25	1.5e-006	512.6	
26	1.5625e-006	512.	
27	1.625e-006	511.4	
28	1.6875e-006	510.8	
29	1.75e-006	510.2	
30	1.8125e-006	509.6	
31	1.875e-006	509.	
32	1.9375e-006	508.41	
33	2.e-006	507.81	
34	2.0625e-006	507.32	
35	2.125e-006	506.83	
36	2.1875e-006	506.35	
37	2.25e-006	505.86	
38	2.3125e-006	505.38	
39	2.375e-006	504.89	
40	2.4375e-006	504.41	
41	2.5e-006	503.92	
42	2.5625e-006	503.66	
43	2.625e-006	503.4	
44	2.6875e-006	503.15	
45	2.75e-006	502.89	
46	2.8125e-006	502.63	
47	2.875e-006	502.37	
48	2.9375e-006	502.11	
49	3.e-006	501.85	
