,Length [m],Value [°C]
1,0,561.55
2,2.08E-08,561.49
3,4.17E-08,560.24
4,6.25E-08,558.03
5,8.33E-08,555.12
6,1.04E-07,551.62
7,1.25E-07,547.82
8,1.46E-07,543.87
9,1.67E-07,539.9
10,1.88E-07,536.03
11,2.08E-07,532.32
12,2.29E-07,528.85
13,2.50E-07,525.63
14,2.71E-07,522.65
15,2.92E-07,519.91
16,3.13E-07,517.51
17,3.33E-07,515.34
18,3.54E-07,513.34
19,3.75E-07,511.65
20,3.96E-07,510.12
21,4.17E-07,508.76
22,4.38E-07,507.61
23,4.58E-07,506.53
24,4.79E-07,505.67
25,5.00E-07,504.85
26,5.21E-07,504.2
27,5.42E-07,503.59
28,5.63E-07,503.1
29,5.83E-07,502.65
30,6.04E-07,502.27
31,6.25E-07,501.95
32,6.46E-07,501.64
33,6.67E-07,501.43
34,6.88E-07,501.21
35,7.08E-07,501.03
36,7.29E-07,500.89
37,7.50E-07,500.75
38,7.71E-07,500.64
39,7.92E-07,500.55
40,8.13E-07,500.46
41,8.33E-07,500.39
42,8.54E-07,500.34
43,8.75E-07,500.29
44,8.96E-07,500.24
45,9.17E-07,500.21
46,9.38E-07,500.18
47,9.58E-07,500.15
48,9.79E-07,500.13
49,1.00E-06,500.11
