	Length [m]	Value [°C]	
1	0.	516.64	
2	6.25e-008	516.53	
3	1.25e-007	516.41	
4	1.875e-007	516.3	
5	2.5e-007	516.19	
6	3.125e-007	516.07	
7	3.75e-007	515.96	
8	4.375e-007	515.85	
9	5.e-007	515.73	
10	5.625e-007	515.42	
11	6.25e-007	515.1	
12	6.875e-007	514.78	
13	7.5e-007	514.47	
14	8.125e-007	514.15	
15	8.75e-007	513.84	
16	9.375e-007	513.52	
17	1.e-006	513.2	
18	1.0625e-006	512.76	
19	1.125e-006	512.31	
20	1.1875e-006	511.87	
21	1.25e-006	511.42	
22	1.3125e-006	510.97	
23	1.375e-006	510.53	
24	1.4375e-006	510.08	
25	1.5e-006	509.64	
26	1.5625e-006	509.16	
27	1.625e-006	508.69	
28	1.6875e-006	508.22	
29	1.75e-006	507.75	
30	1.8125e-006	507.27	
31	1.875e-006	506.8	
32	1.9375e-006	506.33	
33	2.e-006	505.86	
34	2.0625e-006	505.47	
35	2.125e-006	505.08	
36	2.1875e-006	504.7	
37	2.25e-006	504.31	
38	2.3125e-006	503.92	
39	2.375e-006	503.53	
40	2.4375e-006	503.15	
41	2.5e-006	502.76	
42	2.5625e-006	502.55	
43	2.625e-006	502.35	
44	2.6875e-006	502.14	
45	2.75e-006	501.93	
46	2.8125e-006	501.73	
47	2.875e-006	501.52	
48	2.9375e-006	501.31	
49	3.e-006	501.1	
