,Length [m],Value [°C]
1,0,864.87
2,2.08E-08,821.57
3,4.17E-08,622.63
4,6.25E-08,545.72
5,8.33E-08,515.26
6,1.04E-07,505.59
7,1.25E-07,501.93
8,1.46E-07,500.64
9,1.67E-07,500.21
10,1.88E-07,500.07
11,2.08E-07,500.02
12,2.29E-07,500.01
13,2.50E-07,500
14,2.71E-07,500
15,2.92E-07,500
16,3.13E-07,500
17,3.33E-07,500
18,3.54E-07,500
19,3.75E-07,500
20,3.96E-07,500
21,4.17E-07,500
22,4.38E-07,500
23,4.58E-07,500
24,4.79E-07,500
25,5.00E-07,500
26,5.21E-07,500
27,5.42E-07,500
28,5.63E-07,500
29,5.83E-07,500
30,6.04E-07,500
31,6.25E-07,500
32,6.46E-07,500
33,6.67E-07,500
34,6.88E-07,500
35,7.08E-07,500
36,7.29E-07,500
37,7.50E-07,500
38,7.71E-07,500
39,7.92E-07,500
40,8.13E-07,500
41,8.33E-07,500
42,8.54E-07,500
43,8.75E-07,500
44,8.96E-07,500
45,9.17E-07,500
46,9.38E-07,500
47,9.58E-07,500
48,9.79E-07,500
49,1.00E-06,500
