Study Name	PremaTech_CVD_SiC_HeandSi
Sample Name	2025-10-15
Run Name	spot04
Operator	Keshav
Date	10/15/2025
Time	18:34
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	146
dt	50.000001E-12
time stamp (ms)	9:13:56 PM
	
Time	Amplitude
0.000000E+0	-1.832608E-4
5.000000E-11	-8.390968E-5
1.000000E-10	-1.539168E-5
1.500000E-10	3.770978E-5
2.000000E-10	8.224648E-5
2.500000E-10	1.045148E-4
3.000000E-10	7.710763E-5
3.500000E-10	5.163725E-6
4.000000E-10	-1.061780E-4
4.500000E-10	-2.295104E-4
5.000000E-10	-3.442781E-4
5.500000E-10	-4.367774E-4
6.000000E-10	-5.138601E-4
6.500000E-10	-5.601098E-4
7.000000E-10	-5.618227E-4
7.500000E-10	-5.035824E-4
8.000000E-10	-3.973795E-4
8.500000E-10	-2.620565E-4
9.000000E-10	-1.318723E-4
9.500000E-10	-3.423413E-5
1.000000E-9	2.058028E-5
1.050000E-9	3.257093E-5
1.100000E-9	1.737825E-6
1.150000E-9	-5.650248E-5
1.200000E-9	-1.335852E-4
1.250000E-9	-2.432140E-4
1.300000E-9	-3.682594E-4
1.350000E-9	-4.813141E-4
1.400000E-9	-5.772393E-4
1.450000E-9	-6.697386E-4
1.500000E-9	-7.245530E-4
1.550000E-9	-7.348307E-4
1.600000E-9	-7.296918E-4
1.650000E-9	-7.108494E-4
1.700000E-9	-6.474702E-4
1.750000E-9	-5.652486E-4
1.800000E-9	-4.950177E-4
1.850000E-9	-4.145090E-4
1.900000E-9	-2.997414E-4
1.950000E-9	-1.661313E-4
2.000000E-9	-5.136363E-5
2.050000E-9	4.456158E-5
2.100000E-9	1.267832E-4
2.150000E-9	1.850235E-4
2.200000E-9	1.987271E-4
2.250000E-9	1.713199E-4
2.300000E-9	1.216443E-4
2.350000E-9	6.169108E-5
2.400000E-9	-1.367873E-5
2.450000E-9	-9.076148E-5
2.500000E-9	-1.541406E-4
2.550000E-9	-2.055291E-4
2.600000E-9	-2.534917E-4
2.650000E-9	-2.894637E-4
2.700000E-9	-3.014543E-4
2.750000E-9	-2.774730E-4
2.800000E-9	-2.209457E-4
2.850000E-9	-1.507147E-4
2.900000E-9	-7.534493E-5
2.950000E-9	6.876675E-6
3.000000E-9	7.882058E-5
3.050000E-9	1.319220E-4
3.100000E-9	1.850235E-4
3.150000E-9	2.278472E-4
3.200000E-9	2.364120E-4
3.250000E-9	2.124307E-4
3.300000E-9	1.747458E-4
3.350000E-9	1.199314E-4
3.400000E-9	6.340403E-5
3.450000E-9	1.372848E-5
3.500000E-9	-4.451183E-5
3.550000E-9	-1.027521E-4
3.600000E-9	-1.318723E-4
3.650000E-9	-1.404370E-4
3.700000E-9	-1.455759E-4
3.750000E-9	-1.524277E-4
3.800000E-9	-1.490018E-4
3.850000E-9	-1.472888E-4
3.900000E-9	-1.438629E-4
3.950000E-9	-1.472888E-4
4.000000E-9	-1.627054E-4
4.050000E-9	-1.986773E-4
4.100000E-9	-2.363622E-4
4.150000E-9	-2.586306E-4
4.200000E-9	-2.671953E-4
4.250000E-9	-2.808989E-4
4.300000E-9	-3.014543E-4
4.350000E-9	-3.117320E-4
4.400000E-9	-3.305745E-4
4.450000E-9	-3.528428E-4
4.500000E-9	-3.545558E-4
4.550000E-9	-3.408522E-4
4.600000E-9	-3.288615E-4
4.650000E-9	-3.083061E-4
4.700000E-9	-2.808989E-4
4.750000E-9	-2.791860E-4
4.800000E-9	-2.980284E-4
4.850000E-9	-3.117320E-4
4.900000E-9	-3.220097E-4
4.950000E-9	-3.477040E-4
5.000000E-9	-3.699723E-4
5.050000E-9	-3.716853E-4
5.100000E-9	-3.614076E-4
5.150000E-9	-3.579817E-4
5.200000E-9	-3.648335E-4
5.250000E-9	-3.631205E-4
5.300000E-9	-3.459910E-4
5.350000E-9	-3.271486E-4
5.400000E-9	-3.185838E-4
5.450000E-9	-3.185838E-4
5.500000E-9	-3.134450E-4
5.550000E-9	-2.894637E-4
5.600000E-9	-2.500658E-4
5.650000E-9	-1.866867E-4
5.700000E-9	-9.590033E-5
5.750000E-9	2.571913E-5
5.800000E-9	1.559033E-4
5.850000E-9	2.740969E-4
5.900000E-9	3.734480E-4
5.950000E-9	4.334012E-4
6.000000E-9	4.385401E-4
6.050000E-9	3.888645E-4
6.100000E-9	2.912264E-4
6.150000E-9	1.387738E-4
6.200000E-9	-6.164133E-5
6.250000E-9	-2.706212E-4
6.300000E-9	-4.573328E-4
6.350000E-9	-6.354796E-4
6.400000E-9	-7.879321E-4
6.450000E-9	-8.787185E-4
6.500000E-9	-9.078387E-4
6.550000E-9	-9.044128E-4
6.600000E-9	-8.633020E-4
6.650000E-9	-7.639508E-4
6.700000E-9	-6.354796E-4
6.750000E-9	-5.172860E-4
6.800000E-9	-4.110831E-4
6.850000E-9	-3.185838E-4
6.900000E-9	-2.620565E-4
6.950000E-9	-2.346493E-4
7.000000E-9	-2.140939E-4
7.050000E-9	-1.986773E-4
7.100000E-9	-1.986773E-4
7.150000E-9	-2.140939E-4
7.200000E-9	-2.363622E-4
7.250000E-9	-2.706212E-4
7.300000E-9	-3.134450E-4
7.350000E-9	-3.408522E-4
7.400000E-9	-3.562687E-4
7.450000E-9	-3.699723E-4
7.500000E-9	-3.768241E-4
7.550000E-9	-3.716853E-4
7.600000E-9	-3.545558E-4
7.650000E-9	-3.134450E-4
7.700000E-9	-2.517788E-4
7.750000E-9	-1.918255E-4
7.800000E-9	-1.370111E-4
7.850000E-9	-9.076148E-5
7.900000E-9	-6.506723E-5
7.950000E-9	-6.164133E-5
8.000000E-9	-4.793773E-5
8.050000E-9	-2.395643E-5
8.100000E-9	-1.367873E-5
8.150000E-9	5.163725E-6
8.200000E-9	4.627453E-5
8.250000E-9	9.595008E-5
8.300000E-9	1.353479E-4
8.350000E-9	1.747458E-4
8.400000E-9	2.055789E-4
8.450000E-9	2.124307E-4
8.500000E-9	1.901623E-4
8.550000E-9	1.182184E-4
8.600000E-9	-1.881758E-5
8.650000E-9	-1.918255E-4
8.700000E-9	-3.665464E-4
8.750000E-9	-5.309896E-4
8.800000E-9	-6.543220E-4
8.850000E-9	-7.142753E-4
8.900000E-9	-6.954328E-4
8.950000E-9	-6.063594E-4
9.000000E-9	-4.470551E-4
9.050000E-9	-2.380752E-4
9.100000E-9	-5.113975E-6
9.150000E-9	2.192825E-4
9.200000E-9	4.111329E-4
9.250000E-9	5.618725E-4
9.300000E-9	6.492329E-4
9.350000E-9	6.492329E-4
9.400000E-9	5.670113E-4
9.450000E-9	4.351142E-4
9.500000E-9	2.775228E-4
9.550000E-9	9.595008E-5
9.600000E-9	-8.390968E-5
9.650000E-9	-2.517788E-4
9.700000E-9	-3.699723E-4
9.750000E-9	-4.162220E-4
9.800000E-9	-4.127961E-4
9.850000E-9	-3.785371E-4
9.900000E-9	-3.014543E-4
9.950000E-9	-1.952514E-4
1.000000E-8	-9.076148E-5
1.005000E-8	-1.688075E-6
1.010000E-8	5.997813E-5
1.015000E-8	6.854288E-5
1.020000E-8	4.456158E-5
1.025000E-8	3.085798E-5
1.030000E-8	2.571913E-5
1.035000E-8	1.715438E-5
1.040000E-8	2.914503E-5
1.045000E-8	7.539468E-5
1.050000E-8	1.284961E-4
1.055000E-8	1.661810E-4
1.060000E-8	2.124307E-4
1.065000E-8	2.723839E-4
1.070000E-8	3.152077E-4
1.075000E-8	3.134947E-4
1.080000E-8	2.706710E-4
1.085000E-8	1.935882E-4
1.090000E-8	6.854288E-5
1.095000E-8	-8.904853E-5
1.100000E-8	-2.346493E-4
1.105000E-8	-3.494169E-4
1.110000E-8	-4.299256E-4
1.115000E-8	-4.658975E-4
1.120000E-8	-4.487680E-4
1.125000E-8	-3.990925E-4
1.130000E-8	-3.374263E-4
1.135000E-8	-2.671953E-4
1.140000E-8	-1.883996E-4
1.145000E-8	-1.233075E-4
1.150000E-8	-8.562263E-5
1.155000E-8	-6.849313E-5
1.160000E-8	-7.363198E-5
1.165000E-8	-1.164557E-4
1.170000E-8	-1.781219E-4
1.175000E-8	-2.226586E-4
1.180000E-8	-2.534917E-4
1.185000E-8	-2.860378E-4
1.190000E-8	-3.117320E-4
1.195000E-8	-3.271486E-4
1.200000E-8	-3.408522E-4
1.205000E-8	-3.596946E-4
1.210000E-8	-3.853889E-4
1.215000E-8	-4.213608E-4
1.220000E-8	-4.641846E-4
1.225000E-8	-4.950177E-4
1.230000E-8	-5.207119E-4
1.235000E-8	-5.292767E-4
1.240000E-8	-4.898788E-4
1.245000E-8	-4.059443E-4
1.250000E-8	-2.980284E-4
1.255000E-8	-1.695572E-4
1.260000E-8	-2.909528E-5
1.265000E-8	1.010889E-4
1.270000E-8	2.038659E-4
1.275000E-8	2.740969E-4
1.280000E-8	3.015041E-4
1.285000E-8	2.929393E-4
1.290000E-8	2.706710E-4
1.295000E-8	2.244213E-4
1.300000E-8	1.404868E-4
1.305000E-8	5.826518E-5
1.310000E-8	1.372848E-5
1.315000E-8	5.163725E-6
1.320000E-8	2.229323E-5
1.325000E-8	7.196878E-5
1.330000E-8	1.353479E-4
1.335000E-8	1.884494E-4
1.340000E-8	2.329861E-4
1.345000E-8	2.689580E-4
1.350000E-8	2.758098E-4
1.355000E-8	2.535415E-4
1.360000E-8	2.124307E-4
1.365000E-8	1.421997E-4
1.370000E-8	2.571913E-5
1.375000E-8	-1.164557E-4
1.380000E-8	-2.534917E-4
1.385000E-8	-3.768241E-4
1.390000E-8	-4.933047E-4
1.395000E-8	-5.960817E-4
1.400000E-8	-6.645997E-4
1.405000E-8	-6.783033E-4
1.410000E-8	-6.543220E-4
1.415000E-8	-6.097853E-4
1.420000E-8	-5.481191E-4
1.425000E-8	-4.693234E-4
1.430000E-8	-4.196479E-4
1.435000E-8	-3.871018E-4
1.440000E-8	-3.391392E-4
1.445000E-8	-2.997414E-4
1.450000E-8	-2.808989E-4
1.455000E-8	-2.209457E-4
1.460000E-8	-1.198816E-4
1.465000E-8	-6.335428E-5
1.470000E-8	-5.136363E-5
1.475000E-8	-3.252118E-5
1.480000E-8	-1.196578E-5
1.485000E-8	6.876675E-6
1.490000E-8	5.655223E-5
1.495000E-8	8.567238E-5
1.500000E-8	1.030257E-5
1.505000E-8	-1.215946E-4
1.510000E-8	-2.243716E-4
1.515000E-8	-3.151579E-4
1.520000E-8	-4.145090E-4
1.525000E-8	-5.121472E-4
1.530000E-8	-5.960817E-4
1.535000E-8	-6.508961E-4
1.540000E-8	-6.474702E-4
1.545000E-8	-5.995076E-4
1.550000E-8	-5.258508E-4
1.555000E-8	-4.059443E-4
1.560000E-8	-2.277975E-4
1.565000E-8	-3.080823E-5
1.570000E-8	1.473386E-4
1.575000E-8	2.895134E-4
1.580000E-8	3.888645E-4
1.585000E-8	4.710861E-4
1.590000E-8	5.430300E-4
1.595000E-8	5.396041E-4
1.600000E-8	4.265494E-4
1.605000E-8	2.792357E-4
1.610000E-8	1.576163E-4
1.615000E-8	3.257093E-5
1.620000E-8	-1.147428E-4
1.625000E-8	-2.466399E-4
1.630000E-8	-3.288615E-4
1.635000E-8	-3.494169E-4
1.640000E-8	-3.065932E-4
1.645000E-8	-2.449270E-4
1.650000E-8	-1.798349E-4
1.655000E-8	-8.562263E-5
1.660000E-8	1.372848E-5
1.665000E-8	4.627453E-5
1.670000E-8	5.312633E-5
1.675000E-8	9.252418E-5
1.680000E-8	9.766303E-5
1.685000E-8	1.715438E-5
1.690000E-8	-5.992838E-5
1.695000E-8	-8.733558E-5
1.700000E-8	-1.301593E-4
1.705000E-8	-2.003903E-4
1.710000E-8	-2.466399E-4
1.715000E-8	-2.671953E-4
1.720000E-8	-2.723342E-4
1.725000E-8	-2.603435E-4
1.730000E-8	-2.483529E-4
1.735000E-8	-2.517788E-4
1.740000E-8	-2.483529E-4
1.745000E-8	-2.552047E-4
1.750000E-8	-2.946025E-4
1.755000E-8	-3.442781E-4
1.760000E-8	-3.768241E-4
1.765000E-8	-4.367774E-4
1.770000E-8	-5.224249E-4
1.775000E-8	-5.721004E-4
1.780000E-8	-5.652486E-4
1.785000E-8	-5.309896E-4
1.790000E-8	-4.539069E-4
1.795000E-8	-3.014543E-4
1.800000E-8	-4.451183E-5
1.805000E-8	3.631703E-4
1.810000E-8	9.918230E-4
1.815000E-8	1.896261E-3
1.820000E-8	3.117594E-3
1.825000E-8	4.705499E-3
1.830000E-8	6.683956E-3
1.835000E-8	9.080373E-3
1.840000E-8	1.191359E-2
1.845000E-8	1.515963E-2
1.850000E-8	1.872771E-2
1.855000E-8	2.257842E-2
1.860000E-8	2.670663E-2
1.865000E-8	3.101984E-2
1.870000E-8	3.536045E-2
1.875000E-8	3.964454E-2
1.880000E-8	4.382071E-2
1.885000E-8	4.776735E-2
1.890000E-8	5.132343E-2
1.895000E-8	5.441188E-2
1.900000E-8	5.692649E-2
1.905000E-8	5.872509E-2
1.910000E-8	5.979740E-2
1.915000E-8	6.024448E-2
1.920000E-8	6.016054E-2
1.925000E-8	5.960897E-2
1.930000E-8	5.874565E-2
1.935000E-8	5.773158E-2
1.940000E-8	5.668154E-2
1.945000E-8	5.569317E-2
1.950000E-8	5.486239E-2
1.955000E-8	5.422346E-2
1.960000E-8	5.377809E-2
1.965000E-8	5.354342E-2
1.970000E-8	5.352458E-2
1.975000E-8	5.367874E-2
1.980000E-8	5.399392E-2
1.985000E-8	5.444272E-2
1.990000E-8	5.490693E-2
1.995000E-8	5.531290E-2
2.000000E-8	5.570687E-2
2.005000E-8	5.608372E-2
2.010000E-8	5.632525E-2
2.015000E-8	5.635951E-2
2.020000E-8	5.619506E-2
2.025000E-8	5.583534E-2
2.030000E-8	5.537456E-2
2.035000E-8	5.487952E-2
2.040000E-8	5.439818E-2
2.045000E-8	5.396994E-2
2.050000E-8	5.366846E-2
2.055000E-8	5.352458E-2
2.060000E-8	5.350059E-2
2.065000E-8	5.359652E-2
2.070000E-8	5.381235E-2
2.075000E-8	5.413439E-2
2.080000E-8	5.450610E-2
2.085000E-8	5.488466E-2
2.090000E-8	5.524438E-2
2.095000E-8	5.560238E-2
2.100000E-8	5.599294E-2
2.105000E-8	5.635266E-2
2.110000E-8	5.657191E-2
2.115000E-8	5.662159E-2
2.120000E-8	5.656506E-2
2.125000E-8	5.640404E-2
2.130000E-8	5.611627E-2
2.135000E-8	5.570345E-2
2.140000E-8	5.526322E-2
2.145000E-8	5.486068E-2
2.150000E-8	5.456605E-2
2.155000E-8	5.439475E-2
2.160000E-8	5.431596E-2
2.165000E-8	5.430911E-2
2.170000E-8	5.437420E-2
2.175000E-8	5.449068E-2
2.180000E-8	5.460716E-2
2.185000E-8	5.476133E-2
2.190000E-8	5.499771E-2
2.195000E-8	5.527864E-2
2.200000E-8	5.552359E-2
2.205000E-8	5.572914E-2
2.210000E-8	5.588159E-2
2.215000E-8	5.595011E-2
2.220000E-8	5.590729E-2
2.225000E-8	5.575312E-2
2.230000E-8	5.551331E-2
2.235000E-8	5.523410E-2
2.240000E-8	5.494461E-2
2.245000E-8	5.466711E-2
2.250000E-8	5.441531E-2
2.255000E-8	5.423202E-2
2.260000E-8	5.413267E-2
2.265000E-8	5.409670E-2
2.270000E-8	5.411897E-2
2.275000E-8	5.418235E-2
2.280000E-8	5.428855E-2
2.285000E-8	5.443073E-2
2.290000E-8	5.458489E-2
2.295000E-8	5.473392E-2
2.300000E-8	5.490521E-2
2.305000E-8	5.509706E-2
2.310000E-8	5.524438E-2
2.315000E-8	5.533002E-2
2.320000E-8	5.533516E-2
2.325000E-8	5.529405E-2
2.330000E-8	5.519813E-2
2.335000E-8	5.507993E-2
2.340000E-8	5.493605E-2
2.345000E-8	5.476818E-2
2.350000E-8	5.461230E-2
2.355000E-8	5.453864E-2
2.360000E-8	5.449410E-2
2.365000E-8	5.443586E-2
2.370000E-8	5.439133E-2
2.375000E-8	5.440332E-2
2.380000E-8	5.445471E-2
2.385000E-8	5.449582E-2
2.390000E-8	5.453693E-2
2.395000E-8	5.459174E-2
2.400000E-8	5.467739E-2
2.405000E-8	5.481614E-2
2.410000E-8	5.498058E-2
2.415000E-8	5.513132E-2
2.420000E-8	5.521697E-2
2.425000E-8	5.521526E-2
2.430000E-8	5.514503E-2
2.435000E-8	5.504054E-2
2.440000E-8	5.489665E-2
2.445000E-8	5.472364E-2
2.450000E-8	5.456947E-2
2.455000E-8	5.443244E-2
2.460000E-8	5.429883E-2
2.465000E-8	5.418749E-2
2.470000E-8	5.411897E-2
2.475000E-8	5.410869E-2
2.480000E-8	5.413096E-2
2.485000E-8	5.416864E-2
2.490000E-8	5.422688E-2
2.495000E-8	5.433137E-2
2.500000E-8	5.447526E-2
2.505000E-8	5.461230E-2
2.510000E-8	5.470480E-2
2.515000E-8	5.481100E-2
2.520000E-8	5.495318E-2
2.525000E-8	5.507993E-2
2.530000E-8	5.511077E-2
2.535000E-8	5.506280E-2
2.540000E-8	5.498058E-2
2.545000E-8	5.487952E-2
2.550000E-8	5.475961E-2
2.555000E-8	5.463114E-2
2.560000E-8	5.449068E-2
2.565000E-8	5.436392E-2
2.570000E-8	5.426457E-2
2.575000E-8	5.420462E-2
2.580000E-8	5.418235E-2
2.585000E-8	5.422688E-2
2.590000E-8	5.437591E-2
2.595000E-8	5.458489E-2
2.600000E-8	5.480757E-2
2.605000E-8	5.505424E-2
2.610000E-8	5.536086E-2
2.615000E-8	5.566405E-2
2.620000E-8	5.589701E-2
2.625000E-8	5.603233E-2
2.630000E-8	5.604946E-2
2.635000E-8	5.594840E-2
2.640000E-8	5.574285E-2
2.645000E-8	5.549618E-2
2.650000E-8	5.523753E-2
2.655000E-8	5.499943E-2
2.660000E-8	5.479216E-2
2.665000E-8	5.462258E-2
2.670000E-8	5.449410E-2
2.675000E-8	5.443244E-2
2.680000E-8	5.447698E-2
2.685000E-8	5.461744E-2
2.690000E-8	5.479558E-2
2.695000E-8	5.504225E-2
2.700000E-8	5.535743E-2
2.705000E-8	5.567604E-2
2.710000E-8	5.594840E-2
2.715000E-8	5.620192E-2
2.720000E-8	5.642974E-2
2.725000E-8	5.656677E-2
2.730000E-8	5.655992E-2
2.735000E-8	5.642974E-2
2.740000E-8	5.623446E-2
2.745000E-8	5.597923E-2
2.750000E-8	5.568803E-2
2.755000E-8	5.539683E-2
2.760000E-8	5.517415E-2
2.765000E-8	5.501998E-2
2.770000E-8	5.491378E-2
2.775000E-8	5.482642E-2
2.780000E-8	5.480072E-2
2.785000E-8	5.482984E-2
2.790000E-8	5.488466E-2
2.795000E-8	5.494118E-2
2.800000E-8	5.501142E-2
2.805000E-8	5.511762E-2
2.810000E-8	5.523410E-2
2.815000E-8	5.534373E-2
2.820000E-8	5.547734E-2
2.825000E-8	5.560067E-2
2.830000E-8	5.565206E-2
2.835000E-8	5.562979E-2
2.840000E-8	5.554414E-2
2.845000E-8	5.537285E-2
2.850000E-8	5.512447E-2
2.855000E-8	5.485725E-2
2.860000E-8	5.464313E-2
2.865000E-8	5.445985E-2
2.870000E-8	5.431082E-2
2.875000E-8	5.419776E-2
2.880000E-8	5.414295E-2
2.885000E-8	5.414980E-2
2.890000E-8	5.418064E-2
2.895000E-8	5.424401E-2
2.900000E-8	5.438448E-2
