Study Name	PremaTech_CVD_SiC_HeandSi
Sample Name	2025-10-15
Run Name	spot04
Operator	Keshav
Date	10/15/2025
Time	18:34
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	14
dt	50.000001E-12
time stamp (ms)	6:49:29 PM
	
Time	Amplitude
0.000000E+0	3.340121E-4
5.000000E-11	2.466516E-4
1.000000E-10	1.610041E-4
1.500000E-10	1.061897E-4
2.000000E-10	5.308827E-5
2.500000E-10	-1.318176E-8
3.000000E-10	-1.542973E-5
3.500000E-10	-3.439082E-6
4.000000E-10	1.699768E-6
4.500000E-10	5.125668E-6
5.000000E-10	1.711632E-5
5.500000E-10	2.054222E-5
6.000000E-10	2.910697E-5
6.500000E-10	5.822712E-5
7.000000E-10	8.906022E-5
7.500000E-10	9.591202E-5
8.000000E-10	9.419907E-5
8.500000E-10	8.563432E-5
9.000000E-10	5.137532E-5
9.500000E-10	1.026452E-5
1.000000E-9	-2.913333E-5
1.050000E-9	-9.251248E-5
1.100000E-9	-1.730211E-4
1.150000E-9	-2.518168E-4
1.200000E-9	-3.271866E-4
1.250000E-9	-3.939917E-4
1.300000E-9	-4.436672E-4
1.350000E-9	-4.762133E-4
1.400000E-9	-4.916298E-4
1.450000E-9	-4.745003E-4
1.500000E-9	-4.248248E-4
1.550000E-9	-3.511679E-4
1.600000E-9	-2.638075E-4
1.650000E-9	-1.850118E-4
1.700000E-9	-1.456139E-4
1.750000E-9	-1.387621E-4
1.800000E-9	-1.576046E-4
1.850000E-9	-2.158449E-4
1.900000E-9	-3.220478E-4
1.950000E-9	-4.419543E-4
2.000000E-9	-5.601478E-4
2.050000E-9	-6.834803E-4
2.100000E-9	-8.033868E-4
2.150000E-9	-9.010249E-4
2.200000E-9	-9.609782E-4
2.250000E-9	-9.729688E-4
2.300000E-9	-9.387098E-4
2.350000E-9	-8.582012E-4
2.400000E-9	-7.417206E-4
2.450000E-9	-5.978327E-4
2.500000E-9	-4.419543E-4
2.550000E-9	-2.809370E-4
2.600000E-9	-1.301974E-4
2.650000E-9	-5.152032E-6
2.700000E-9	8.049547E-5
2.750000E-9	1.370228E-4
2.800000E-9	1.335969E-4
2.850000E-9	6.850482E-5
2.900000E-9	-2.913333E-5
2.950000E-9	-1.387621E-4
3.000000E-9	-2.672334E-4
3.050000E-9	-3.991305E-4
3.100000E-9	-5.001946E-4
3.150000E-9	-5.601478E-4
3.200000E-9	-5.978327E-4
3.250000E-9	-6.132493E-4
3.300000E-9	-6.012587E-4
3.350000E-9	-5.704255E-4
3.400000E-9	-5.361665E-4
3.450000E-9	-4.950557E-4
3.500000E-9	-4.505190E-4
3.550000E-9	-4.076953E-4
3.600000E-9	-3.631586E-4
3.650000E-9	-3.151960E-4
3.700000E-9	-2.723722E-4
3.750000E-9	-2.398262E-4
3.800000E-9	-2.158449E-4
3.850000E-9	-2.055672E-4
3.900000E-9	-2.004283E-4
3.950000E-9	-1.952895E-4
4.000000E-9	-1.987154E-4
4.050000E-9	-2.244096E-4
4.100000E-9	-2.586686E-4
4.150000E-9	-2.809370E-4
4.200000E-9	-3.066312E-4
4.250000E-9	-3.323255E-4
4.300000E-9	-3.340384E-4
4.350000E-9	-3.220478E-4
4.400000E-9	-3.203348E-4
4.450000E-9	-3.203348E-4
4.500000E-9	-3.014924E-4
4.550000E-9	-2.603816E-4
4.600000E-9	-2.072801E-4
4.650000E-9	-1.387621E-4
4.700000E-9	-7.367003E-5
4.750000E-9	-4.112398E-5
4.800000E-9	-3.427218E-5
4.850000E-9	-4.454988E-5
4.900000E-9	-6.681823E-5
4.950000E-9	-1.113549E-4
5.000000E-9	-1.593175E-4
5.050000E-9	-2.055672E-4
5.100000E-9	-2.569557E-4
5.150000E-9	-3.169089E-4
5.200000E-9	-3.580197E-4
5.250000E-9	-3.717233E-4
5.300000E-9	-3.957046E-4
5.350000E-9	-4.282507E-4
5.400000E-9	-4.316766E-4
5.450000E-9	-3.871399E-4
5.500000E-9	-3.254737E-4
5.550000E-9	-2.672334E-4
5.600000E-9	-2.124190E-4
5.650000E-9	-1.524657E-4
5.700000E-9	-9.422543E-5
5.750000E-9	-5.482758E-5
5.800000E-9	-2.228153E-5
5.850000E-9	2.568107E-5
5.900000E-9	6.850482E-5
5.950000E-9	8.563432E-5
6.000000E-9	1.130415E-4
6.050000E-9	1.575782E-4
6.100000E-9	1.866984E-4
6.150000E-9	1.986890E-4
6.200000E-9	2.089667E-4
6.250000E-9	1.918372E-4
6.300000E-9	1.335969E-4
6.350000E-9	6.507892E-5
6.400000E-9	-1.029088E-5
6.450000E-9	-1.062161E-4
6.500000E-9	-1.970024E-4
6.550000E-9	-2.603816E-4
6.600000E-9	-3.203348E-4
6.650000E-9	-3.734363E-4
6.700000E-9	-3.802881E-4
6.750000E-9	-3.443161E-4
6.800000E-9	-2.912147E-4
6.850000E-9	-2.278355E-4
6.900000E-9	-1.507528E-4
6.950000E-9	-9.251248E-5
7.000000E-9	-5.996643E-5
7.050000E-9	-4.968873E-5
7.100000E-9	-7.024413E-5
7.150000E-9	-1.216326E-4
7.200000E-9	-1.850118E-4
7.250000E-9	-2.381132E-4
7.300000E-9	-2.809370E-4
7.350000E-9	-3.186219E-4
7.400000E-9	-3.374643E-4
7.450000E-9	-3.237607E-4
7.500000E-9	-2.843629E-4
7.550000E-9	-2.398262E-4
7.600000E-9	-1.798729E-4
7.650000E-9	-1.147808E-4
7.700000E-9	-6.853118E-5
7.750000E-9	-5.825348E-5
7.800000E-9	-5.482758E-5
7.850000E-9	-4.112398E-5
7.900000E-9	-2.913333E-5
7.950000E-9	-3.084628E-5
8.000000E-9	-4.797578E-5
8.050000E-9	-5.996643E-5
8.100000E-9	-7.024413E-5
8.150000E-9	-8.566068E-5
8.200000E-9	-1.164938E-4
8.250000E-9	-1.558916E-4
8.300000E-9	-2.021413E-4
8.350000E-9	-2.501039E-4
8.400000E-9	-2.895017E-4
8.450000E-9	-3.186219E-4
8.500000E-9	-3.374643E-4
8.550000E-9	-3.477420E-4
8.600000E-9	-3.443161E-4
8.650000E-9	-3.254737E-4
8.700000E-9	-2.809370E-4
8.750000E-9	-2.107060E-4
8.800000E-9	-1.113549E-4
8.850000E-9	6.838618E-6
8.900000E-9	1.164674E-4
8.950000E-9	2.004020E-4
9.000000E-9	2.637811E-4
9.050000E-9	3.048919E-4
9.100000E-9	3.048919E-4
9.150000E-9	2.791977E-4
9.200000E-9	2.449387E-4
9.250000E-9	1.935502E-4
9.300000E-9	1.198933E-4
9.350000E-9	5.308827E-5
9.400000E-9	-3.439082E-6
9.450000E-9	-6.681823E-5
9.500000E-9	-1.336233E-4
9.550000E-9	-1.901506E-4
9.600000E-9	-2.449650E-4
9.650000E-9	-2.963535E-4
9.700000E-9	-3.374643E-4
9.750000E-9	-3.648715E-4
9.800000E-9	-3.785751E-4
9.850000E-9	-3.682974E-4
9.900000E-9	-3.477420E-4
9.950000E-9	-3.203348E-4
1.000000E-8	-2.860758E-4
1.005000E-8	-2.295485E-4
1.010000E-8	-1.439010E-4
1.015000E-8	-3.769808E-5
1.020000E-8	6.679187E-5
1.025000E-8	1.490135E-4
1.030000E-8	1.969761E-4
1.035000E-8	2.106797E-4
1.040000E-8	1.918372E-4
1.045000E-8	1.507264E-4
1.050000E-8	9.248612E-5
1.055000E-8	1.369042E-5
1.060000E-8	-5.996643E-5
1.065000E-8	-1.113549E-4
1.070000E-8	-1.490398E-4
1.075000E-8	-1.747341E-4
1.080000E-8	-1.713082E-4
1.085000E-8	-1.267715E-4
1.090000E-8	-7.024413E-5
1.095000E-8	-1.726132E-6
1.100000E-8	9.077317E-5
1.105000E-8	2.038279E-4
1.110000E-8	3.014660E-4
1.115000E-8	3.734099E-4
1.120000E-8	4.230855E-4
1.125000E-8	4.419279E-4
1.130000E-8	4.367891E-4
1.135000E-8	3.973912E-4
1.140000E-8	3.168826E-4
1.145000E-8	2.192444E-4
1.150000E-8	1.216063E-4
1.155000E-8	8.551568E-6
1.160000E-8	-1.284844E-4
1.165000E-8	-2.501039E-4
1.170000E-8	-3.306125E-4
1.175000E-8	-3.888528E-4
1.180000E-8	-4.213989E-4
1.185000E-8	-4.231118E-4
1.190000E-8	-3.991305E-4
1.195000E-8	-3.443161E-4
1.200000E-8	-2.603816E-4
1.205000E-8	-1.627434E-4
1.210000E-8	-6.681823E-5
1.215000E-8	1.882927E-5
1.220000E-8	7.878252E-5
1.225000E-8	1.044768E-4
1.230000E-8	1.130415E-4
1.235000E-8	1.061897E-4
1.240000E-8	7.535662E-5
1.245000E-8	3.595877E-5
1.250000E-8	-1.318176E-8
1.255000E-8	-5.482758E-5
1.260000E-8	-1.216326E-4
1.265000E-8	-1.713082E-4
1.270000E-8	-1.952895E-4
1.275000E-8	-2.141319E-4
1.280000E-8	-2.209837E-4
1.285000E-8	-2.141319E-4
1.290000E-8	-2.038542E-4
1.295000E-8	-1.935765E-4
1.300000E-8	-1.781600E-4
1.305000E-8	-1.644564E-4
1.310000E-8	-1.593175E-4
1.315000E-8	-1.524657E-4
1.320000E-8	-1.456139E-4
1.325000E-8	-1.610305E-4
1.330000E-8	-1.850118E-4
1.335000E-8	-2.124190E-4
1.340000E-8	-2.535298E-4
1.345000E-8	-2.929276E-4
1.350000E-8	-3.220478E-4
1.355000E-8	-3.460291E-4
1.360000E-8	-3.682974E-4
1.365000E-8	-3.854269E-4
1.370000E-8	-4.059823E-4
1.375000E-8	-4.231118E-4
1.380000E-8	-4.385284E-4
1.385000E-8	-4.488061E-4
1.390000E-8	-4.402413E-4
1.395000E-8	-3.854269E-4
1.400000E-8	-3.083442E-4
1.405000E-8	-2.381132E-4
1.410000E-8	-1.507528E-4
1.415000E-8	-2.399448E-5
1.420000E-8	1.198933E-4
1.425000E-8	2.603552E-4
1.430000E-8	4.008171E-4
1.435000E-8	5.155848E-4
1.440000E-8	5.892416E-4
1.445000E-8	6.389172E-4
1.450000E-8	6.406301E-4
1.455000E-8	5.481308E-4
1.460000E-8	4.076689E-4
1.465000E-8	3.066049E-4
1.470000E-8	2.397998E-4
1.475000E-8	1.644300E-4
1.480000E-8	9.933792E-5
1.485000E-8	5.480122E-5
1.490000E-8	1.699768E-6
1.495000E-8	-2.913333E-5
1.500000E-8	1.882927E-5
1.505000E-8	1.198933E-4
1.510000E-8	1.986890E-4
1.515000E-8	2.397998E-4
1.520000E-8	2.637811E-4
1.525000E-8	2.500775E-4
1.530000E-8	1.969761E-4
1.535000E-8	1.335969E-4
1.540000E-8	6.850482E-5
1.545000E-8	1.699768E-6
1.550000E-8	-5.825348E-5
1.555000E-8	-1.147808E-4
1.560000E-8	-1.935765E-4
1.565000E-8	-2.638075E-4
1.570000E-8	-2.706593E-4
1.575000E-8	-2.209837E-4
1.580000E-8	-1.678823E-4
1.585000E-8	-1.507528E-4
1.590000E-8	-1.610305E-4
1.595000E-8	-1.610305E-4
1.600000E-8	-1.336233E-4
1.605000E-8	-1.216326E-4
1.610000E-8	-1.678823E-4
1.615000E-8	-2.398262E-4
1.620000E-8	-3.032053E-4
1.625000E-8	-3.682974E-4
1.630000E-8	-4.351025E-4
1.635000E-8	-4.796392E-4
1.640000E-8	-4.762133E-4
1.645000E-8	-4.059823E-4
1.650000E-8	-2.946406E-4
1.655000E-8	-1.798729E-4
1.660000E-8	-5.311463E-5
1.665000E-8	1.061897E-4
1.670000E-8	2.346610E-4
1.675000E-8	2.860495E-4
1.680000E-8	3.100308E-4
1.685000E-8	3.340121E-4
1.690000E-8	2.946142E-4
1.695000E-8	1.592912E-4
1.700000E-8	1.026452E-5
1.705000E-8	-8.908658E-5
1.710000E-8	-1.678823E-4
1.715000E-8	-2.655204E-4
1.720000E-8	-3.682974E-4
1.725000E-8	-4.385284E-4
1.730000E-8	-4.625097E-4
1.735000E-8	-4.573708E-4
1.740000E-8	-4.385284E-4
1.745000E-8	-4.025564E-4
1.750000E-8	-3.614456E-4
1.755000E-8	-3.357514E-4
1.760000E-8	-3.134830E-4
1.765000E-8	-2.620945E-4
1.770000E-8	-2.004283E-4
1.775000E-8	-1.593175E-4
1.780000E-8	-1.267715E-4
1.785000E-8	-8.737363E-5
1.790000E-8	-8.908658E-5
1.795000E-8	-1.747341E-4
1.800000E-8	-3.220478E-4
1.805000E-8	-5.635737E-4
1.810000E-8	-9.781077E-4
1.815000E-8	-1.579353E-3
1.820000E-8	-2.355320E-3
1.825000E-8	-3.333414E-3
1.830000E-8	-4.554747E-3
1.835000E-8	-6.002190E-3
1.840000E-8	-7.658613E-3
1.845000E-8	-9.493182E-3
1.850000E-8	-1.146650E-2
1.855000E-8	-1.353232E-2
1.860000E-8	-1.565809E-2
1.865000E-8	-1.777016E-2
1.870000E-8	-1.980514E-2
1.875000E-8	-2.171851E-2
1.880000E-8	-2.345030E-2
1.885000E-8	-2.490631E-2
1.890000E-8	-2.603343E-2
1.895000E-8	-2.683166E-2
1.900000E-8	-2.727018E-2
1.905000E-8	-2.729073E-2
1.910000E-8	-2.690875E-2
1.915000E-8	-2.627495E-2
1.920000E-8	-2.550241E-2
1.925000E-8	-2.460997E-2
1.930000E-8	-2.365757E-2
1.935000E-8	-2.279253E-2
1.940000E-8	-2.212790E-2
1.945000E-8	-2.172536E-2
1.950000E-8	-2.167226E-2
1.955000E-8	-2.199258E-2
1.960000E-8	-2.259211E-2
1.965000E-8	-2.339891E-2
1.970000E-8	-2.437529E-2
1.975000E-8	-2.543047E-2
1.980000E-8	-2.639829E-2
1.985000E-8	-2.718624E-2
1.990000E-8	-2.774980E-2
1.995000E-8	-2.803415E-2
2.000000E-8	-2.806156E-2
2.005000E-8	-2.787656E-2
2.010000E-8	-2.745860E-2
2.015000E-8	-2.679740E-2
2.020000E-8	-2.593750E-2
2.025000E-8	-2.500908E-2
2.030000E-8	-2.411664E-2
2.035000E-8	-2.335095E-2
2.040000E-8	-2.276683E-2
2.045000E-8	-2.242767E-2
2.050000E-8	-2.238656E-2
2.055000E-8	-2.265035E-2
2.060000E-8	-2.313854E-2
2.065000E-8	-2.380831E-2
2.070000E-8	-2.463052E-2
2.075000E-8	-2.554010E-2
2.080000E-8	-2.640685E-2
2.085000E-8	-2.716569E-2
2.090000E-8	-2.771897E-2
2.095000E-8	-2.802559E-2
2.100000E-8	-2.811638E-2
2.105000E-8	-2.803073E-2
2.110000E-8	-2.771041E-2
2.115000E-8	-2.710573E-2
2.120000E-8	-2.630921E-2
2.125000E-8	-2.546473E-2
2.130000E-8	-2.462710E-2
2.135000E-8	-2.383743E-2
2.140000E-8	-2.316595E-2
2.145000E-8	-2.268290E-2
2.150000E-8	-2.244480E-2
2.155000E-8	-2.243623E-2
2.160000E-8	-2.261267E-2
2.165000E-8	-2.299808E-2
2.170000E-8	-2.360275E-2
2.175000E-8	-2.430335E-2
2.180000E-8	-2.499881E-2
2.185000E-8	-2.566514E-2
2.190000E-8	-2.626468E-2
2.195000E-8	-2.667407E-2
2.200000E-8	-2.683338E-2
2.205000E-8	-2.678713E-2
2.210000E-8	-2.657129E-2
2.215000E-8	-2.613963E-2
2.220000E-8	-2.550584E-2
2.225000E-8	-2.476413E-2
2.230000E-8	-2.401215E-2
2.235000E-8	-2.328757E-2
2.240000E-8	-2.265720E-2
2.245000E-8	-2.219813E-2
2.250000E-8	-2.194804E-2
2.255000E-8	-2.188809E-2
2.260000E-8	-2.201485E-2
2.265000E-8	-2.234373E-2
2.270000E-8	-2.286790E-2
2.275000E-8	-2.354451E-2
2.280000E-8	-2.427252E-2
2.285000E-8	-2.492858E-2
2.290000E-8	-2.545959E-2
2.295000E-8	-2.586727E-2
2.300000E-8	-2.608824E-2
2.305000E-8	-2.612079E-2
2.310000E-8	-2.598204E-2
2.315000E-8	-2.565315E-2
2.320000E-8	-2.509644E-2
2.325000E-8	-2.440955E-2
2.330000E-8	-2.373636E-2
2.335000E-8	-2.310428E-2
2.340000E-8	-2.252531E-2
2.345000E-8	-2.207651E-2
2.350000E-8	-2.185383E-2
2.355000E-8	-2.184698E-2
2.360000E-8	-2.202512E-2
2.365000E-8	-2.235744E-2
2.370000E-8	-2.284905E-2
2.375000E-8	-2.343660E-2
2.380000E-8	-2.406354E-2
2.385000E-8	-2.466821E-2
2.390000E-8	-2.521978E-2
2.395000E-8	-2.564801E-2
2.400000E-8	-2.588098E-2
2.405000E-8	-2.589468E-2
2.410000E-8	-2.572338E-2
2.415000E-8	-2.540478E-2
2.420000E-8	-2.494742E-2
2.425000E-8	-2.436844E-2
2.430000E-8	-2.371581E-2
2.435000E-8	-2.307174E-2
2.440000E-8	-2.250475E-2
2.445000E-8	-2.205253E-2
2.450000E-8	-2.175619E-2
2.455000E-8	-2.165684E-2
2.460000E-8	-2.174078E-2
2.465000E-8	-2.196517E-2
2.470000E-8	-2.231290E-2
2.475000E-8	-2.279424E-2
2.480000E-8	-2.332525E-2
2.485000E-8	-2.381173E-2
2.490000E-8	-2.424682E-2
2.495000E-8	-2.461339E-2
2.500000E-8	-2.486862E-2
2.505000E-8	-2.493543E-2
2.510000E-8	-2.484293E-2
2.515000E-8	-2.459969E-2
2.520000E-8	-2.424511E-2
2.525000E-8	-2.380831E-2
2.530000E-8	-2.333211E-2
2.535000E-8	-2.284905E-2
2.540000E-8	-2.240197E-2
2.545000E-8	-2.202512E-2
2.550000E-8	-2.174763E-2
2.555000E-8	-2.164485E-2
2.560000E-8	-2.172878E-2
2.565000E-8	-2.191036E-2
2.570000E-8	-2.217073E-2
2.575000E-8	-2.254244E-2
2.580000E-8	-2.300493E-2
2.585000E-8	-2.345886E-2
2.590000E-8	-2.386826E-2
2.595000E-8	-2.424511E-2
2.600000E-8	-2.452089E-2
2.605000E-8	-2.462881E-2
2.610000E-8	-2.460311E-2
2.615000E-8	-2.447807E-2
2.620000E-8	-2.421599E-2
2.625000E-8	-2.380831E-2
2.630000E-8	-2.332354E-2
2.635000E-8	-2.281651E-2
2.640000E-8	-2.234887E-2
2.645000E-8	-2.196860E-2
2.650000E-8	-2.170480E-2
2.655000E-8	-2.154550E-2
2.660000E-8	-2.150439E-2
2.665000E-8	-2.161402E-2
2.670000E-8	-2.185040E-2
2.675000E-8	-2.217929E-2
2.680000E-8	-2.256470E-2
2.685000E-8	-2.297753E-2
2.690000E-8	-2.335951E-2
2.695000E-8	-2.367470E-2
2.700000E-8	-2.389224E-2
2.705000E-8	-2.400016E-2
2.710000E-8	-2.402585E-2
2.715000E-8	-2.397275E-2
2.720000E-8	-2.385969E-2
2.725000E-8	-2.366099E-2
2.730000E-8	-2.339206E-2
2.735000E-8	-2.308373E-2
2.740000E-8	-2.277368E-2
2.745000E-8	-2.247049E-2
2.750000E-8	-2.221698E-2
2.755000E-8	-2.205082E-2
2.760000E-8	-2.199429E-2
2.765000E-8	-2.202512E-2
2.770000E-8	-2.210906E-2
2.775000E-8	-2.226665E-2
2.780000E-8	-2.251332E-2
2.785000E-8	-2.278910E-2
2.790000E-8	-2.303748E-2
2.795000E-8	-2.323961E-2
2.800000E-8	-2.338349E-2
2.805000E-8	-2.342974E-2
2.810000E-8	-2.338178E-2
2.815000E-8	-2.326359E-2
2.820000E-8	-2.306489E-2
2.825000E-8	-2.280280E-2
2.830000E-8	-2.253558E-2
2.835000E-8	-2.230434E-2
