Study Name	PremaTech_CVD_SiC_HeandSi
Sample Name	2025-10-15
Run Name	spot04
Operator	Keshav
Date	10/15/2025
Time	18:34
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	11
dt	50.000001E-12
time stamp (ms)	6:46:14 PM
	
Time	Amplitude
0.000000E+0	-3.134582E-4
5.000000E-11	-2.860510E-4
1.000000E-10	-2.843380E-4
1.500000E-10	-2.894769E-4
2.000000E-10	-3.151711E-4
2.500000E-10	-3.819762E-4
3.000000E-10	-4.693366E-4
3.500000E-10	-5.464194E-4
4.000000E-10	-6.166503E-4
4.500000E-10	-6.885942E-4
5.000000E-10	-7.399827E-4
5.500000E-10	-7.571122E-4
6.000000E-10	-7.502604E-4
6.500000E-10	-7.160014E-4
7.000000E-10	-6.457705E-4
7.500000E-10	-5.566971E-4
8.000000E-10	-4.727625E-4
8.500000E-10	-3.991057E-4
9.000000E-10	-3.323006E-4
9.500000E-10	-2.774862E-4
1.000000E-9	-2.466531E-4
1.050000E-9	-2.432272E-4
1.100000E-9	-2.620697E-4
1.150000E-9	-2.946157E-4
1.200000E-9	-3.305877E-4
1.250000E-9	-3.716985E-4
1.300000E-9	-4.093834E-4
1.350000E-9	-4.367906E-4
1.400000E-9	-4.453553E-4
1.450000E-9	-4.385035E-4
1.500000E-9	-4.299388E-4
1.550000E-9	-4.367906E-4
1.600000E-9	-4.556330E-4
1.650000E-9	-4.624848E-4
1.700000E-9	-4.573460E-4
1.750000E-9	-4.539201E-4
1.800000E-9	-4.556330E-4
1.850000E-9	-4.556330E-4
1.900000E-9	-4.556330E-4
1.950000E-9	-4.590589E-4
2.000000E-9	-4.522071E-4
2.050000E-9	-4.282258E-4
2.100000E-9	-3.939668E-4
2.150000E-9	-3.562819E-4
2.200000E-9	-3.151711E-4
2.250000E-9	-2.809121E-4
2.300000E-9	-2.586438E-4
2.350000E-9	-2.535049E-4
2.400000E-9	-2.603567E-4
2.450000E-9	-2.843380E-4
2.500000E-9	-3.271618E-4
2.550000E-9	-3.819762E-4
2.600000E-9	-4.385035E-4
2.650000E-9	-4.950309E-4
2.700000E-9	-5.566971E-4
2.750000E-9	-6.046597E-4
2.800000E-9	-6.183633E-4
2.850000E-9	-6.115115E-4
2.900000E-9	-6.012338E-4
2.950000E-9	-5.772525E-4
3.000000E-9	-5.464194E-4
3.050000E-9	-5.138733E-4
3.100000E-9	-4.744755E-4
3.150000E-9	-4.316517E-4
3.200000E-9	-4.059575E-4
3.250000E-9	-3.888280E-4
3.300000E-9	-3.648467E-4
3.350000E-9	-3.494301E-4
3.400000E-9	-3.460042E-4
3.450000E-9	-3.323006E-4
3.500000E-9	-3.271618E-4
3.550000E-9	-3.408654E-4
3.600000E-9	-3.477172E-4
3.650000E-9	-3.340136E-4
3.700000E-9	-3.288747E-4
3.750000E-9	-3.460042E-4
3.800000E-9	-3.631337E-4
3.850000E-9	-3.785503E-4
3.900000E-9	-4.076704E-4
3.950000E-9	-4.436424E-4
4.000000E-9	-4.779014E-4
4.050000E-9	-5.001697E-4
4.100000E-9	-5.070215E-4
4.150000E-9	-5.053086E-4
4.200000E-9	-5.121604E-4
4.250000E-9	-5.241510E-4
4.300000E-9	-5.310028E-4
4.350000E-9	-5.429935E-4
4.400000E-9	-5.704007E-4
4.450000E-9	-6.012338E-4
4.500000E-9	-6.132244E-4
4.550000E-9	-6.097985E-4
4.600000E-9	-5.960949E-4
4.650000E-9	-5.686877E-4
4.700000E-9	-5.275769E-4
4.750000E-9	-4.830402E-4
4.800000E-9	-4.402165E-4
4.850000E-9	-3.922539E-4
4.900000E-9	-3.391524E-4
4.950000E-9	-2.723474E-4
5.000000E-9	-2.038294E-4
5.050000E-9	-1.541538E-4
5.100000E-9	-1.370243E-4
5.150000E-9	-1.404502E-4
5.200000E-9	-1.592927E-4
5.250000E-9	-2.021164E-4
5.300000E-9	-2.603567E-4
5.350000E-9	-3.151711E-4
5.400000E-9	-3.545690E-4
5.450000E-9	-3.768373E-4
5.500000E-9	-3.648467E-4
5.550000E-9	-3.100323E-4
5.600000E-9	-2.243848E-4
5.650000E-9	-1.233207E-4
5.700000E-9	-1.701257E-6
5.750000E-9	1.216311E-4
5.800000E-9	2.124175E-4
5.850000E-9	2.672319E-4
5.900000E-9	3.032039E-4
5.950000E-9	3.066298E-4
6.000000E-9	2.415377E-4
6.050000E-9	1.216311E-4
6.100000E-9	-2.739551E-5
6.150000E-9	-1.986905E-4
6.200000E-9	-3.648467E-4
6.250000E-9	-4.933179E-4
6.300000E-9	-5.823913E-4
6.350000E-9	-6.303539E-4
6.400000E-9	-6.200762E-4
6.450000E-9	-5.601230E-4
6.500000E-9	-4.676237E-4
6.550000E-9	-3.408654E-4
6.600000E-9	-2.055423E-4
6.650000E-9	-1.027653E-4
6.700000E-9	-3.767321E-5
6.750000E-9	3.437593E-6
6.800000E-9	-1.701257E-6
6.850000E-9	-6.679336E-5
6.900000E-9	-1.592927E-4
6.950000E-9	-2.586438E-4
7.000000E-9	-3.631337E-4
7.050000E-9	-4.641978E-4
7.100000E-9	-5.412805E-4
7.150000E-9	-5.789654E-4
7.200000E-9	-5.875302E-4
7.250000E-9	-5.738266E-4
7.300000E-9	-5.378546E-4
7.350000E-9	-4.881791E-4
7.400000E-9	-4.470683E-4
7.450000E-9	-4.110963E-4
7.500000E-9	-3.751244E-4
7.550000E-9	-3.460042E-4
7.600000E-9	-3.323006E-4
7.650000E-9	-3.185970E-4
7.700000E-9	-3.031805E-4
7.750000E-9	-2.946157E-4
7.800000E-9	-2.791992E-4
7.850000E-9	-2.552179E-4
7.900000E-9	-2.398013E-4
7.950000E-9	-2.346625E-4
8.000000E-9	-2.312366E-4
8.050000E-9	-2.415143E-4
8.100000E-9	-2.689215E-4
8.150000E-9	-3.117452E-4
8.200000E-9	-3.785503E-4
8.250000E-9	-4.624848E-4
8.300000E-9	-5.498453E-4
8.350000E-9	-6.337798E-4
8.400000E-9	-7.125755E-4
8.450000E-9	-7.708158E-4
8.500000E-9	-7.862324E-4
8.550000E-9	-7.639640E-4
8.600000E-9	-7.057237E-4
8.650000E-9	-6.235021E-4
8.700000E-9	-5.361417E-4
8.750000E-9	-4.556330E-4
8.800000E-9	-3.819762E-4
8.850000E-9	-3.203100E-4
8.900000E-9	-2.723474E-4
8.950000E-9	-2.363754E-4
9.000000E-9	-2.209589E-4
9.050000E-9	-2.295236E-4
9.100000E-9	-2.500790E-4
9.150000E-9	-2.757733E-4
9.200000E-9	-3.014675E-4
9.250000E-9	-3.185970E-4
9.300000E-9	-3.237359E-4
9.350000E-9	-3.237359E-4
9.400000E-9	-3.185970E-4
9.450000E-9	-3.117452E-4
9.500000E-9	-2.997546E-4
9.550000E-9	-2.911898E-4
9.600000E-9	-2.894769E-4
9.650000E-9	-3.014675E-4
9.700000E-9	-3.220229E-4
9.750000E-9	-3.579949E-4
9.800000E-9	-4.145222E-4
9.850000E-9	-4.693366E-4
9.900000E-9	-5.053086E-4
9.950000E-9	-5.310028E-4
1.000000E-8	-5.429935E-4
1.005000E-8	-5.310028E-4
1.010000E-8	-4.967438E-4
1.015000E-8	-4.470683E-4
1.020000E-8	-3.871150E-4
1.025000E-8	-3.134582E-4
1.030000E-8	-2.380884E-4
1.035000E-8	-1.678574E-4
1.040000E-8	-1.061912E-4
1.045000E-8	-5.994156E-5
1.050000E-8	-2.739551E-5
1.055000E-8	-2.225666E-5
1.060000E-8	-5.137681E-5
1.065000E-8	-1.096171E-4
1.070000E-8	-1.764222E-4
1.075000E-8	-2.535049E-4
1.080000E-8	-3.460042E-4
1.085000E-8	-4.316517E-4
1.090000E-8	-4.916050E-4
1.095000E-8	-5.395676E-4
1.100000E-8	-5.738266E-4
1.105000E-8	-5.772525E-4
1.110000E-8	-5.464194E-4
1.115000E-8	-4.881791E-4
1.120000E-8	-4.145222E-4
1.125000E-8	-3.323006E-4
1.130000E-8	-2.552179E-4
1.135000E-8	-1.866999E-4
1.140000E-8	-1.301725E-4
1.145000E-8	-8.734876E-5
1.150000E-8	-6.336746E-5
1.155000E-8	-4.966386E-5
1.160000E-8	-5.308976E-5
1.165000E-8	-7.021926E-5
1.170000E-8	-9.420056E-5
1.175000E-8	-1.267466E-4
1.180000E-8	-1.747092E-4
1.185000E-8	-2.312366E-4
1.190000E-8	-2.894769E-4
1.195000E-8	-3.477172E-4
1.200000E-8	-4.093834E-4
1.205000E-8	-4.744755E-4
1.210000E-8	-5.310028E-4
1.215000E-8	-5.704007E-4
1.220000E-8	-5.909561E-4
1.225000E-8	-5.995208E-4
1.230000E-8	-5.892431E-4
1.235000E-8	-5.618359E-4
1.240000E-8	-5.275769E-4
1.245000E-8	-4.967438E-4
1.250000E-8	-4.590589E-4
1.255000E-8	-4.247999E-4
1.260000E-8	-4.128093E-4
1.265000E-8	-4.110963E-4
1.270000E-8	-4.025316E-4
1.275000E-8	-3.905409E-4
1.280000E-8	-3.819762E-4
1.285000E-8	-3.699855E-4
1.290000E-8	-3.579949E-4
1.295000E-8	-3.477172E-4
1.300000E-8	-3.288747E-4
1.305000E-8	-2.980416E-4
1.310000E-8	-2.654956E-4
1.315000E-8	-2.278107E-4
1.320000E-8	-1.986905E-4
1.325000E-8	-1.832740E-4
1.330000E-8	-1.712833E-4
1.335000E-8	-1.610056E-4
1.340000E-8	-1.764222E-4
1.345000E-8	-2.055423E-4
1.350000E-8	-2.192459E-4
1.355000E-8	-2.192459E-4
1.360000E-8	-2.260977E-4
1.365000E-8	-2.415143E-4
1.370000E-8	-2.586438E-4
1.375000E-8	-2.740603E-4
1.380000E-8	-2.809121E-4
1.385000E-8	-2.757733E-4
1.390000E-8	-2.672085E-4
1.395000E-8	-2.500790E-4
1.400000E-8	-2.226718E-4
1.405000E-8	-1.952646E-4
1.410000E-8	-1.678574E-4
1.415000E-8	-1.216078E-4
1.420000E-8	-5.822861E-5
1.425000E-8	1.028939E-5
1.430000E-8	7.195560E-5
1.435000E-8	1.216311E-4
1.440000E-8	1.541772E-4
1.445000E-8	1.695937E-4
1.450000E-8	1.610290E-4
1.455000E-8	1.216311E-4
1.460000E-8	6.510379E-5
1.465000E-8	-1.369191E-5
1.470000E-8	-1.216078E-4
1.475000E-8	-2.329495E-4
1.480000E-8	-3.203100E-4
1.485000E-8	-3.973927E-4
1.490000E-8	-4.727625E-4
1.495000E-8	-5.292899E-4
1.500000E-8	-5.566971E-4
1.505000E-8	-5.806784E-4
1.510000E-8	-6.012338E-4
1.515000E-8	-6.046597E-4
1.520000E-8	-5.875302E-4
1.525000E-8	-5.601230E-4
1.530000E-8	-5.172992E-4
1.535000E-8	-4.676237E-4
1.540000E-8	-4.230870E-4
1.545000E-8	-3.854021E-4
1.550000E-8	-3.562819E-4
1.555000E-8	-3.357265E-4
1.560000E-8	-3.185970E-4
1.565000E-8	-3.134582E-4
1.570000E-8	-3.134582E-4
1.575000E-8	-3.014675E-4
1.580000E-8	-2.860510E-4
1.585000E-8	-2.723474E-4
1.590000E-8	-2.483661E-4
1.595000E-8	-2.175330E-4
1.600000E-8	-1.969776E-4
1.605000E-8	-1.798481E-4
1.610000E-8	-1.421632E-4
1.615000E-8	-9.077466E-5
1.620000E-8	-5.480271E-5
1.625000E-8	-3.767321E-5
1.630000E-8	-2.910846E-5
1.635000E-8	-1.197896E-5
1.640000E-8	8.576443E-6
1.645000E-8	1.371529E-5
1.650000E-8	-1.540486E-5
1.655000E-8	-6.679336E-5
1.660000E-8	-1.404502E-4
1.665000E-8	-2.380884E-4
1.670000E-8	-3.357265E-4
1.675000E-8	-4.162352E-4
1.680000E-8	-4.813273E-4
1.685000E-8	-5.275769E-4
1.690000E-8	-5.447064E-4
1.695000E-8	-5.395676E-4
1.700000E-8	-5.121604E-4
1.705000E-8	-4.436424E-4
1.710000E-8	-3.460042E-4
1.715000E-8	-2.432272E-4
1.720000E-8	-1.370243E-4
1.725000E-8	-1.369191E-5
1.730000E-8	9.422395E-5
1.735000E-8	1.678808E-4
1.740000E-8	2.209822E-4
1.745000E-8	2.501024E-4
1.750000E-8	2.312599E-4
1.755000E-8	1.850103E-4
1.760000E-8	1.404736E-4
1.765000E-8	7.366855E-5
1.770000E-8	-2.396961E-5
1.775000E-8	-1.198948E-4
1.780000E-8	-2.038294E-4
1.785000E-8	-2.911898E-4
1.790000E-8	-3.682726E-4
1.795000E-8	-4.093834E-4
1.800000E-8	-4.316517E-4
1.805000E-8	-4.402165E-4
1.810000E-8	-4.162352E-4
1.815000E-8	-3.665596E-4
1.820000E-8	-3.048934E-4
1.825000E-8	-2.123941E-4
1.830000E-8	-7.707106E-5
1.835000E-8	9.251100E-5
1.840000E-8	3.203334E-4
1.845000E-8	6.509327E-4
1.850000E-8	1.087735E-3
1.855000E-8	1.651296E-3
1.860000E-8	2.411845E-3
1.865000E-8	3.405356E-3
1.870000E-8	4.607847E-3
1.875000E-8	6.010753E-3
1.880000E-8	7.629491E-3
1.885000E-8	9.429802E-3
1.890000E-8	1.134831E-2
1.895000E-8	1.335417E-2
1.900000E-8	1.541485E-2
1.905000E-8	1.746011E-2
1.910000E-8	1.943514E-2
1.915000E-8	2.130568E-2
1.920000E-8	2.297581E-2
1.925000E-8	2.437700E-2
1.930000E-8	2.547843E-2
1.935000E-8	2.624241E-2
1.940000E-8	2.661583E-2
1.945000E-8	2.655416E-2
1.950000E-8	2.607796E-2
1.955000E-8	2.524547E-2
1.960000E-8	2.414918E-2
1.965000E-8	2.294498E-2
1.970000E-8	2.173906E-2
1.975000E-8	2.059995E-2
1.980000E-8	1.960473E-2
1.985000E-8	1.883047E-2
1.990000E-8	1.831487E-2
1.995000E-8	1.806992E-2
2.000000E-8	1.808191E-2
2.005000E-8	1.830631E-2
2.010000E-8	1.870371E-2
2.015000E-8	1.921931E-2
2.020000E-8	1.977602E-2
2.025000E-8	2.030361E-2
2.030000E-8	2.074212E-2
2.035000E-8	2.106758E-2
2.040000E-8	2.125430E-2
2.045000E-8	2.126457E-2
2.050000E-8	2.107444E-2
2.055000E-8	2.068560E-2
2.060000E-8	2.014773E-2
2.065000E-8	1.952422E-2
2.070000E-8	1.885788E-2
2.075000E-8	1.817612E-2
2.080000E-8	1.754233E-2
2.085000E-8	1.702160E-2
2.090000E-8	1.663447E-2
2.095000E-8	1.638095E-2
2.100000E-8	1.629702E-2
2.105000E-8	1.641692E-2
2.110000E-8	1.669614E-2
2.115000E-8	1.709697E-2
2.120000E-8	1.758344E-2
2.125000E-8	1.811446E-2
2.130000E-8	1.864376E-2
2.135000E-8	1.908741E-2
2.140000E-8	1.935977E-2
2.145000E-8	1.943857E-2
2.150000E-8	1.936834E-2
2.155000E-8	1.915079E-2
2.160000E-8	1.876881E-2
2.165000E-8	1.827719E-2
2.170000E-8	1.773761E-2
2.175000E-8	1.716720E-2
2.180000E-8	1.658822E-2
2.185000E-8	1.608290E-2
2.190000E-8	1.570948E-2
2.195000E-8	1.548851E-2
2.200000E-8	1.546110E-2
2.205000E-8	1.561698E-2
2.210000E-8	1.589105E-2
2.215000E-8	1.627475E-2
2.220000E-8	1.676637E-2
2.225000E-8	1.728710E-2
2.230000E-8	1.775131E-2
2.235000E-8	1.814015E-2
2.240000E-8	1.842450E-2
2.245000E-8	1.852557E-2
2.250000E-8	1.843307E-2
2.255000E-8	1.820353E-2
2.260000E-8	1.785580E-2
2.265000E-8	1.737960E-2
2.270000E-8	1.682632E-2
2.275000E-8	1.625762E-2
2.280000E-8	1.572318E-2
2.285000E-8	1.527439E-2
2.290000E-8	1.497805E-2
2.295000E-8	1.485814E-2
2.300000E-8	1.491124E-2
2.305000E-8	1.513906E-2
2.310000E-8	1.551249E-2
2.315000E-8	1.596813E-2
2.320000E-8	1.646317E-2
2.325000E-8	1.694965E-2
2.330000E-8	1.736419E-2
2.335000E-8	1.766909E-2
2.340000E-8	1.784381E-2
2.345000E-8	1.787122E-2
2.350000E-8	1.775645E-2
2.355000E-8	1.753548E-2
2.360000E-8	1.719803E-2
2.365000E-8	1.673725E-2
2.370000E-8	1.621994E-2
2.375000E-8	1.573174E-2
2.380000E-8	1.531207E-2
2.385000E-8	1.497976E-2
2.390000E-8	1.476393E-2
2.395000E-8	1.468513E-2
2.400000E-8	1.473481E-2
2.405000E-8	1.490268E-2
2.410000E-8	1.516647E-2
2.415000E-8	1.549536E-2
2.420000E-8	1.585850E-2
2.425000E-8	1.622679E-2
2.430000E-8	1.656253E-2
2.435000E-8	1.681262E-2
2.440000E-8	1.695308E-2
2.445000E-8	1.697706E-2
2.450000E-8	1.688456E-2
2.455000E-8	1.668072E-2
2.460000E-8	1.636896E-2
2.465000E-8	1.596299E-2
2.470000E-8	1.550221E-2
2.475000E-8	1.504999E-2
2.480000E-8	1.466458E-2
2.485000E-8	1.436995E-2
2.490000E-8	1.418495E-2
2.495000E-8	1.414213E-2
2.500000E-8	1.426203E-2
2.505000E-8	1.451041E-2
2.510000E-8	1.481532E-2
2.515000E-8	1.515962E-2
2.520000E-8	1.555702E-2
2.525000E-8	1.596642E-2
2.530000E-8	1.629702E-2
2.535000E-8	1.652313E-2
2.540000E-8	1.665503E-2
2.545000E-8	1.667901E-2
2.550000E-8	1.655910E-2
2.555000E-8	1.629702E-2
2.560000E-8	1.592360E-2
2.565000E-8	1.548851E-2
2.570000E-8	1.503629E-2
2.575000E-8	1.462347E-2
2.580000E-8	1.428088E-2
2.585000E-8	1.404620E-2
2.590000E-8	1.394514E-2
2.595000E-8	1.397426E-2
2.600000E-8	1.412157E-2
2.605000E-8	1.438879E-2
2.610000E-8	1.474851E-2
2.615000E-8	1.514592E-2
2.620000E-8	1.554161E-2
2.625000E-8	1.590989E-2
2.630000E-8	1.619595E-2
2.635000E-8	1.636554E-2
2.640000E-8	1.642206E-2
2.645000E-8	1.639466E-2
2.650000E-8	1.626619E-2
2.655000E-8	1.602466E-2
2.660000E-8	1.571633E-2
2.665000E-8	1.538402E-2
2.670000E-8	1.504143E-2
2.675000E-8	1.470397E-2
2.680000E-8	1.443504E-2
2.685000E-8	1.426203E-2
2.690000E-8	1.418666E-2
2.695000E-8	1.420893E-2
2.700000E-8	1.433226E-2
2.705000E-8	1.452412E-2
2.710000E-8	1.475536E-2
2.715000E-8	1.500203E-2
2.720000E-8	1.522985E-2
2.725000E-8	1.542855E-2
2.730000E-8	1.558272E-2
2.735000E-8	1.568378E-2
2.740000E-8	1.572661E-2
2.745000E-8	1.570262E-2
2.750000E-8	1.561355E-2
2.755000E-8	1.547309E-2
2.760000E-8	1.529323E-2
2.765000E-8	1.508596E-2
2.770000E-8	1.486842E-2
2.775000E-8	1.466800E-2
2.780000E-8	1.448814E-2
2.785000E-8	1.434254E-2
2.790000E-8	1.426032E-2
2.795000E-8	1.423977E-2
2.800000E-8	1.426889E-2
2.805000E-8	1.434939E-2
2.810000E-8	1.447787E-2
2.815000E-8	1.462861E-2
2.820000E-8	1.477421E-2
2.825000E-8	1.491809E-2
2.830000E-8	1.503971E-2
2.835000E-8	1.512536E-2
2.840000E-8	1.515791E-2
2.845000E-8	1.513221E-2
2.850000E-8	1.504828E-2
2.855000E-8	1.490096E-2
2.860000E-8	1.470397E-2
2.865000E-8	1.448986E-2
2.870000E-8	1.426889E-2
2.875000E-8	1.405134E-2
