Study Name	Tungsten_Calibration
Sample Name	20251029
Run Name	spot00
Operator	Keshav
Date	10/29/2025
Time	16:39
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	8
dt	50.000001E-12
time stamp (ms)	4:47:00 PM
	
Time	Amplitude
0.000000E+0	-7.364728E-5
5.000000E-11	-5.651810E-5
1.000000E-10	-3.596301E-5
1.500000E-10	-3.425027E-5
2.000000E-10	-6.508346E-5
2.500000E-10	-1.027684E-4
3.000000E-10	-1.318885E-4
3.500000E-10	-1.678604E-4
4.000000E-10	-1.952674E-4
4.500000E-10	-1.952673E-4
5.000000E-10	-1.764248E-4
5.500000E-10	-1.336011E-4
6.000000E-10	-6.679608E-5
6.500000E-10	3.434792E-6
7.000000E-10	6.681386E-5
7.500000E-10	1.370447E-4
8.000000E-10	2.055626E-4
8.500000E-10	2.449603E-4
9.000000E-10	2.449603E-4
9.500000E-10	2.107014E-4
1.000000E-9	1.576000E-4
1.050000E-9	9.935986E-5
1.100000E-9	2.399022E-5
1.150000E-9	-8.563829E-5
1.200000E-9	-1.952668E-4
1.250000E-9	-2.860529E-4
1.300000E-9	-3.682743E-4
1.350000E-9	-4.453568E-4
1.400000E-9	-5.018840E-4
1.450000E-9	-5.447077E-4
1.500000E-9	-5.669761E-4
1.550000E-9	-5.447079E-4
1.600000E-9	-5.035974E-4
1.650000E-9	-4.624868E-4
1.700000E-9	-3.836914E-4
1.750000E-9	-2.689241E-4
1.800000E-9	-1.867028E-4
1.850000E-9	-1.387403E-4
1.900000E-9	-6.508356E-5
1.950000E-9	2.398974E-5
2.000000E-9	7.880418E-5
2.050000E-9	1.079245E-4
2.100000E-9	1.216283E-4
2.150000E-9	1.044990E-4
2.200000E-9	6.852729E-5
2.250000E-9	5.482381E-5
2.300000E-9	3.769438E-5
2.350000E-9	-1.540699E-5
2.400000E-9	-8.049901E-5
2.450000E-9	-1.044803E-4
2.500000E-9	-1.096193E-4
2.550000E-9	-1.198971E-4
2.600000E-9	-1.284619E-4
2.650000E-9	-1.370266E-4
2.700000E-9	-1.490172E-4
2.750000E-9	-1.507301E-4
2.800000E-9	-1.507300E-4
2.850000E-9	-1.678594E-4
2.900000E-9	-1.952665E-4
2.950000E-9	-2.141090E-4
3.000000E-9	-2.243867E-4
3.050000E-9	-2.295257E-4
3.100000E-9	-2.295258E-4
3.150000E-9	-2.243871E-4
3.200000E-9	-2.021190E-4
3.250000E-9	-1.712860E-4
3.300000E-9	-1.473049E-4
3.350000E-9	-1.198977E-4
3.400000E-9	-6.679638E-5
3.450000E-9	-1.369495E-5
3.500000E-9	2.912882E-5
3.550000E-9	6.852669E-5
3.600000E-9	9.593391E-5
3.650000E-9	9.935985E-5
3.700000E-9	1.233411E-4
3.750000E-9	1.593129E-4
3.800000E-9	1.507480E-4
3.850000E-9	8.736887E-5
3.900000E-9	1.885086E-5
3.950000E-9	-5.651893E-5
4.000000E-9	-1.661476E-4
4.050000E-9	-2.929056E-4
4.100000E-9	-4.128118E-4
4.150000E-9	-5.224403E-4
4.200000E-9	-6.217911E-4
4.250000E-9	-7.160031E-4
4.300000E-9	-7.965114E-4
4.350000E-9	-8.427609E-4
4.400000E-9	-8.444738E-4
4.450000E-9	-8.324831E-4
4.500000E-9	-8.273442E-4
4.550000E-9	-8.050759E-4
4.600000E-9	-7.571134E-4
4.650000E-9	-7.228545E-4
4.700000E-9	-7.177157E-4
4.750000E-9	-7.022992E-4
