====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
====== TRIM Calc.= Si(6.5 MeV) ==> None(  3 um) ==============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 6500 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 30000.E+00 AAA ;
  Layer # 1- Density = 8.110E22 atoms/cm3 = 2.7 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Total Ions calculated =10000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
300010.E-03  2294.91E-03  2303.61E-03
600010.E-03  2340.09E-03  2349.99E-03
900010.E-03  2535.52E-03  2545.73E-03
120001.E-02  2802.03E-03  2812.42E-03
150001.E-02  3720.02E-03  3730.55E-03
180001.E-02  3142.13E-03  3152.84E-03
210001.E-02  5194.48E-03  5205.43E-03
240001.E-02  3318.32E-03  3329.41E-03
270001.E-02  3589.71E-03  3601.23E-03
300001.E-02  3508.99E-03  3520.57E-03
330001.E-02  3679.99E-03  3691.93E-03
360001.E-02  3638.21E-03  3650.13E-03
390001.E-02  3646.22E-03  3658.46E-03
420001.E-02  3329.64E-03  3342.25E-03
450001.E-02  2880.27E-03  2893.28E-03
480001.E-02  3949.44E-03  3962.62E-03
510001.E-02  4194.10E-03  4207.46E-03
540001.E-02  5185.15E-03  5198.87E-03
570001.E-02  4236.35E-03  4250.51E-03
600001.E-02  5158.10E-03  5172.44E-03
630001.E-02  5596.73E-03  5611.57E-03
660001.E-02  5678.71E-03  5693.73E-03
690001.E-02  4249.53E-03  4265.11E-03
720001.E-02  5738.96E-03  5754.76E-03
750001.E-02  5902.65E-03  5919.03E-03
780001.E-02  5275.30E-03  5292.17E-03
810001.E-02  6880.67E-03  6898.03E-03
840001.E-02  7917.75E-03  7935.51E-03
870001.E-02  6697.93E-03  6716.13E-03
900001.E-02  6217.46E-03  6236.36E-03
930001.E-02  6535.86E-03  6555.30E-03
960001.E-02  7013.70E-03  7033.92E-03
990001.E-02  9110.89E-03  9131.90E-03
102000.E-01  8274.45E-03  8296.09E-03
105000.E-01  7607.71E-03  7630.01E-03
108000.E-01  9410.91E-03  9434.13E-03
111000.E-01  9729.81E-03  9753.99E-03
114000.E-01  8247.88E-03  8272.93E-03
117000.E-01  9667.25E-03  9692.80E-03
120000.E-01  9632.28E-03  9659.13E-03
123000.E-01  1027.35E-02  1030.17E-02
126000.E-01  1077.15E-02  1080.09E-02
129000.E-01  1030.47E-02  1033.53E-02
132000.E-01  1335.50E-02  1338.69E-02
135000.E-01  1282.12E-02  1285.51E-02
138000.E-01  1297.68E-02  1301.20E-02
141000.E-01  1446.74E-02  1450.41E-02
144000.E-01  1466.61E-02  1470.49E-02
147000.E-01  1629.76E-02  1633.87E-02
150000.E-01  1803.30E-02  1807.63E-02
153000.E-01  1987.09E-02  1991.72E-02
156000.E-01  1981.56E-02  1986.37E-02
159000.E-01  2079.91E-02  2084.96E-02
162000.E-01  2393.33E-02  2398.76E-02
165000.E-01  2357.49E-02  2363.24E-02
168000.E-01  2563.75E-02  2569.91E-02
171000.E-01  2816.91E-02  2823.33E-02
174000.E-01  2860.17E-02  2866.95E-02
177000.E-01  2926.96E-02  2934.00E-02
180000.E-01  3155.98E-02  3163.37E-02
183000.E-01  3224.04E-02  3231.63E-02
186000.E-01  3299.04E-02  3306.85E-02
189000.E-01  3298.26E-02  3306.24E-02
192000.E-01  3200.43E-02  3208.47E-02
195000.E-01  3058.92E-02  3066.66E-02
198000.E-01  2920.59E-02  2928.00E-02
201000.E-01  2758.42E-02  2765.61E-02
204000.E-01  2508.97E-02  2515.64E-02
207000.E-01  2157.29E-02  2163.15E-02
210000.E-01  1821.92E-02  1827.03E-02
213000.E-01  1482.74E-02  1486.97E-02
216000.E-01  1136.59E-02  1139.86E-02
219000.E-01  8765.97E-03  8793.01E-03
222000.E-01  7041.61E-03  7063.13E-03
225000.E-01  4488.80E-03  4503.54E-03
228000.E-01  3048.21E-03  3058.09E-03
231000.E-01  1892.35E-03  1899.03E-03
234000.E-01  1323.30E-03  1327.53E-03
237000.E-01  7082.07E-04  7110.01E-04
240000.E-01  3305.99E-04  3319.64E-04
243000.E-01  2093.99E-04  2102.54E-04
246000.E-01  1693.03E-04  1698.34E-04
249000.E-01  6536.60E-05  6557.90E-05
252000.E-01  3843.91E-05  3861.24E-05
255000.E-01  1968.25E-05  1977.89E-05
258000.E-01  1119.67E-05  1124.44E-05
261000.E-01  1988.02E-05  1994.92E-05
264000.E-01  0000.00E+00  0000.00E+00
267000.E-01  0000.00E+00  0000.00E+00
270000.E-01  0000.00E+00  0000.00E+00
273000.E-01  0000.00E+00  0000.00E+00
276000.E-01  0000.00E+00  0000.00E+00
279000.E-01  0000.00E+00  0000.00E+00
282000.E-01  0000.00E+00  0000.00E+00
285000.E-01  0000.00E+00  0000.00E+00
288000.E-01  0000.00E+00  0000.00E+00
291000.E-01  0000.00E+00  0000.00E+00
294000.E-01  0000.00E+00  0000.00E+00
297000.E-01  0000.00E+00  0000.00E+00
300000.E-01  0000.00E+00  0000.00E+00
