====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
====== TRIM Calc.= Si(6.5 MeV) ==> None(  3 um) ==============================
------------------------------------------------------------------------------
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Si   Energy = 6500 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 30000.E+00 A ;
  Layer # 1- Density = 8.110E22 atoms/cm3 = 2.7 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
300010.E-03  5068.38E-01  1427.69E-03
600010.E-03  5037.93E-01  1440.43E-03
900010.E-03  5016.04E-01  2120.48E-03
120001.E-02  4974.77E-01  9225.24E-04
150001.E-02  4941.65E-01  1125.86E-03
180001.E-02  4904.47E-01  1485.32E-03
210001.E-02  4872.75E-01  1375.52E-03
240001.E-02  4827.66E-01  1892.02E-03
270001.E-02  4787.37E-01  9371.85E-04
300001.E-02  4743.40E-01  1876.56E-03
330001.E-02  4718.72E-01  1736.98E-03
360001.E-02  4671.08E-01  2262.44E-03
390001.E-02  4626.84E-01  2023.77E-03
420001.E-02  4576.07E-01  3056.76E-03
450001.E-02  4542.88E-01  2712.13E-03
480001.E-02  4485.29E-01  4128.55E-03
510001.E-02  4427.39E-01  1913.48E-03
540001.E-02  4376.46E-01  2188.98E-03
570001.E-02  4327.78E-01  1718.72E-03
600001.E-02  4271.70E-01  1809.32E-03
630001.E-02  4219.06E-01  2384.37E-03
660001.E-02  4165.97E-01  3076.81E-03
690001.E-02  4113.08E-01  1934.54E-03
720001.E-02  4048.93E-01  4267.97E-03
750001.E-02  3979.52E-01  2690.78E-03
780001.E-02  3925.31E-01  4698.85E-03
810001.E-02  3853.45E-01  1985.15E-03
840001.E-02  3782.88E-01  3262.69E-03
870001.E-02  3711.47E-01  3193.36E-03
900001.E-02  3641.09E-01  3330.41E-03
930001.E-02  3565.32E-01  2611.07E-03
960001.E-02  3485.65E-01  4240.27E-03
990001.E-02  3407.48E-01  3821.22E-03
102000.E-01  3334.11E-01  3845.05E-03
105000.E-01  3242.13E-01  4033.07E-03
108000.E-01  3154.24E-01  4227.25E-03
111000.E-01  3062.96E-01  4415.88E-03
114000.E-01  2969.45E-01  5693.65E-03
117000.E-01  2876.35E-01  3726.13E-03
120000.E-01  2781.11E-01  5505.74E-03
123000.E-01  2680.81E-01  4789.34E-03
126000.E-01  2585.28E-01  5305.63E-03
129000.E-01  2493.53E-01  5812.02E-03
132000.E-01  2383.88E-01  5632.61E-03
135000.E-01  2284.06E-01  7210.70E-03
138000.E-01  2191.28E-01  6730.73E-03
141000.E-01  2092.33E-01  8569.93E-03
144000.E-01  1996.66E-01  8314.81E-03
147000.E-01  1895.48E-01  8131.10E-03
150000.E-01  1792.19E-01  7734.07E-03
153000.E-01  1702.70E-01  8945.20E-03
156000.E-01  1609.81E-01  9084.71E-03
159000.E-01  1513.96E-01  9884.91E-03
162000.E-01  1440.90E-01  1027.61E-02
165000.E-01  1371.93E-01  1090.80E-02
168000.E-01  1277.34E-01  1010.37E-02
171000.E-01  1201.71E-01  1161.14E-02
174000.E-01  1119.24E-01  1204.24E-02
177000.E-01  1048.77E-01  1171.02E-02
180000.E-01  9682.89E-02  1338.15E-02
183000.E-01  8862.21E-02  1281.62E-02
186000.E-01  8143.93E-02  1253.58E-02
189000.E-01  7306.30E-02  1232.18E-02
192000.E-01  6443.93E-02  1202.23E-02
195000.E-01  5614.16E-02  1158.37E-02
198000.E-01  4760.17E-02  1044.95E-02
201000.E-01  4006.50E-02  9489.71E-03
204000.E-01  3287.22E-02  8115.31E-03
207000.E-01  2682.99E-02  7460.63E-03
210000.E-01  2095.13E-02  6586.78E-03
213000.E-01  1597.23E-02  4757.26E-03
216000.E-01  1163.35E-02  3885.12E-03
219000.E-01  7974.70E-03  2744.99E-03
222000.E-01  5415.42E-03  2110.91E-03
225000.E-01  3450.00E-03  1386.37E-03
228000.E-01  2136.50E-03  8699.49E-04
231000.E-01  1242.92E-03  5211.35E-04
234000.E-01  7050.90E-04  3615.11E-04
237000.E-01  3742.76E-04  1870.40E-04
240000.E-01  1880.29E-04  6533.26E-05
243000.E-01  1138.26E-04  4687.18E-05
246000.E-01  7073.04E-05  2099.02E-05
249000.E-01  3665.43E-05  1999.26E-05
252000.E-01  9723.02E-06  6434.90E-06
255000.E-01  2841.65E-06  7421.14E-06
258000.E-01  1313.74E-08  9970.84E-09
261000.E-01  0000.00E+00  0000.00E+00
264000.E-01  0000.00E+00  0000.00E+00
267000.E-01  0000.00E+00  0000.00E+00
270000.E-01  0000.00E+00  0000.00E+00
273000.E-01  0000.00E+00  0000.00E+00
276000.E-01  0000.00E+00  0000.00E+00
279000.E-01  0000.00E+00  0000.00E+00
282000.E-01  0000.00E+00  0000.00E+00
285000.E-01  0000.00E+00  0000.00E+00
288000.E-01  0000.00E+00  0000.00E+00
291000.E-01  0000.00E+00  0000.00E+00
294000.E-01  0000.00E+00  0000.00E+00
297000.E-01  0000.00E+00  0000.00E+00
300000.E-01  0000.00E+00  0000.00E+00
