Study Name	PremaTech_CVD_SiC_1_Heating
Sample Name	2024-12-17
Run Name	spot04_300
Operator	Keshav
Date	12/17/2024
Time	17:55
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	5:55:34 PM
	
Time	Amplitude
0.000000E+0	-1.319020E-4
1.000000E-10	-1.832905E-4
2.000000E-10	-2.877804E-4
3.000000E-10	-4.487977E-4
4.000000E-10	-5.909726E-4
5.000000E-10	-6.783330E-4
6.000000E-10	-6.920366E-4
7.000000E-10	-6.063891E-4
8.000000E-10	-5.018992E-4
9.000000E-10	-3.494466E-4
1.000000E-9	-2.312531E-4
1.100000E-9	-1.319020E-4
1.200000E-9	-9.935592E-5
1.300000E-9	-1.233372E-4
1.400000E-9	-2.089847E-4
1.500000E-9	-3.100488E-4
1.600000E-9	-4.419459E-4
1.700000E-9	-5.858337E-4
1.800000E-9	-7.108791E-4
1.900000E-9	-8.033784E-4
2.000000E-9	-8.324985E-4
2.100000E-9	-7.896748E-4
2.200000E-9	-6.834719E-4
2.300000E-9	-5.241675E-4
2.400000E-9	-3.597243E-4
2.500000E-9	-2.329660E-4
2.600000E-9	-1.884293E-4
2.700000E-9	-2.381049E-4
2.800000E-9	-3.134747E-4
2.900000E-9	-3.905574E-4
3.000000E-9	-4.213905E-4
3.100000E-9	-4.093999E-4
3.200000E-9	-3.186135E-4
3.300000E-9	-2.329660E-4
3.400000E-9	-1.901423E-4
3.500000E-9	-2.226883E-4
3.600000E-9	-2.997711E-4
3.700000E-9	-4.042610E-4
3.800000E-9	-4.573625E-4
3.900000E-9	-4.008351E-4
4.000000E-9	-2.449567E-4
4.100000E-9	-6.856618E-6
4.200000E-9	2.278175E-4
4.300000E-9	4.111032E-4
4.400000E-9	4.436492E-4
4.500000E-9	3.134650E-4
4.600000E-9	8.221678E-5
4.700000E-9	-1.558833E-4
4.800000E-9	-3.460207E-4
4.900000E-9	-4.042610E-4
5.000000E-9	-3.580114E-4
5.100000E-9	-2.706509E-4
5.200000E-9	-2.106977E-4
5.300000E-9	-2.072718E-4
5.400000E-9	-2.620862E-4
5.500000E-9	-3.528725E-4
5.600000E-9	-4.539366E-4
5.700000E-9	-5.550006E-4
5.800000E-9	-6.526388E-4
5.900000E-9	-7.314345E-4
6.000000E-9	-7.554158E-4
6.100000E-9	-7.040273E-4
6.200000E-9	-6.012503E-4
6.300000E-9	-4.693531E-4
6.400000E-9	-3.408819E-4
6.500000E-9	-2.672250E-4
6.600000E-9	-2.329660E-4
6.700000E-9	-1.987070E-4
6.800000E-9	-2.158365E-4
6.900000E-9	-2.757898E-4
7.000000E-9	-3.631502E-4
7.100000E-9	-4.881956E-4
7.200000E-9	-5.858337E-4
7.300000E-9	-6.440740E-4
7.400000E-9	-6.149539E-4
7.500000E-9	-4.830567E-4
7.600000E-9	-3.460207E-4
7.700000E-9	-2.158365E-4
7.800000E-9	-1.747257E-4
7.900000E-9	-2.226883E-4
