Study Name	PremaTech_CVD_SiC_1_Heating
Sample Name	2024-12-17
Run Name	spot04_400
Operator	Keshav
Date	12/17/2024
Time	18:24
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	11
dt	100.000001E-12
time stamp (ms)	6:35:31 PM
	
Time	Amplitude
0.000000E+0	2.929225E-4
1.000000E-10	3.545887E-4
2.000000E-10	3.956995E-4
3.000000E-10	4.299585E-4
4.000000E-10	4.265326E-4
5.000000E-10	4.059772E-4
6.000000E-10	3.939865E-4
7.000000E-10	3.922736E-4
8.000000E-10	4.522268E-4
9.000000E-10	5.378743E-4
1.000000E-9	5.944017E-4
1.100000E-9	5.892628E-4
1.200000E-9	5.207448E-4
1.300000E-9	4.265326E-4
1.400000E-9	3.237556E-4
1.500000E-9	2.655153E-4
1.600000E-9	2.929225E-4
1.700000E-9	4.162549E-4
1.800000E-9	6.098182E-4
1.900000E-9	7.622708E-4
2.000000E-9	8.650478E-4
2.100000E-9	9.404176E-4
2.200000E-9	1.000371E-3
2.300000E-9	1.026065E-3
2.400000E-9	9.798154E-4
2.500000E-9	8.838902E-4
2.600000E-9	7.656967E-4
2.700000E-9	5.344484E-4
2.800000E-9	2.860707E-4
2.900000E-9	8.394257E-5
3.000000E-9	-9.249129E-5
3.100000E-9	-1.336021E-4
3.200000E-9	-8.392654E-5
3.300000E-9	4.283176E-5
3.400000E-9	2.089879E-4
3.500000E-9	3.443110E-4
3.600000E-9	3.545887E-4
3.700000E-9	2.860707E-4
3.800000E-9	1.918584E-4
3.900000E-9	9.422027E-5
4.000000E-9	5.310946E-5
4.100000E-9	7.366487E-5
4.200000E-9	1.678771E-4
4.300000E-9	3.271815E-4
4.400000E-9	4.950506E-4
4.500000E-9	6.543549E-4
4.600000E-9	7.776873E-4
4.700000E-9	8.359276E-4
4.800000E-9	8.753255E-4
4.900000E-9	8.290758E-4
5.000000E-9	7.639837E-4
5.100000E-9	6.492161E-4
5.200000E-9	4.864858E-4
5.300000E-9	3.580146E-4
5.400000E-9	2.449599E-4
5.500000E-9	1.610253E-4
5.600000E-9	1.490347E-4
5.700000E-9	1.661642E-4
5.800000E-9	1.644512E-4
5.900000E-9	1.216275E-4
6.000000E-9	3.597996E-5
6.100000E-9	-1.026969E-5
6.200000E-9	6.338717E-5
6.300000E-9	2.209786E-4
6.400000E-9	4.470880E-4
6.500000E-9	6.440772E-4
6.600000E-9	6.920398E-4
6.700000E-9	6.286607E-4
6.800000E-9	5.104671E-4
6.900000E-9	4.402362E-4
7.000000E-9	4.385232E-4
7.100000E-9	5.121801E-4
7.200000E-9	5.875499E-4
7.300000E-9	6.355125E-4
7.400000E-9	5.430132E-4
7.500000E-9	3.682923E-4
7.600000E-9	2.226915E-4
7.700000E-9	1.284793E-4
7.800000E-9	1.661642E-4
7.900000E-9	2.638023E-4
8.000000E-9	4.076901E-4
8.100000E-9	5.909758E-4
8.200000E-9	7.091693E-4
8.300000E-9	7.554190E-4
8.400000E-9	7.622708E-4
8.500000E-9	7.108823E-4
8.600000E-9	5.704204E-4
8.700000E-9	4.727822E-4
8.800000E-9	4.573657E-4
8.900000E-9	5.961146E-4
9.000000E-9	7.691226E-4
9.100000E-9	9.301399E-4
9.200000E-9	9.215751E-4
9.300000E-9	7.759744E-4
9.400000E-9	5.173189E-4
9.500000E-9	2.894966E-4
9.600000E-9	1.969973E-4
9.700000E-9	2.261174E-4
9.800000E-9	3.357462E-4
9.900000E-9	4.213937E-4
1.000000E-8	4.693563E-4
1.010000E-8	4.779211E-4
1.020000E-8	4.488009E-4
1.030000E-8	4.539398E-4
1.040000E-8	4.916247E-4
1.050000E-8	5.618556E-4
1.060000E-8	6.286607E-4
1.070000E-8	6.252348E-4
1.080000E-8	5.961146E-4
1.090000E-8	5.738463E-4
1.100000E-8	5.858369E-4
1.110000E-8	5.738463E-4
1.120000E-8	5.961146E-4
1.130000E-8	5.772722E-4
1.140000E-8	5.395873E-4
1.150000E-8	4.762081E-4
1.160000E-8	4.059772E-4
1.170000E-8	3.237556E-4
1.180000E-8	2.946354E-4
1.190000E-8	2.963484E-4
1.200000E-8	3.220426E-4
1.210000E-8	3.785700E-4
1.220000E-8	4.299585E-4
1.230000E-8	5.087542E-4
1.240000E-8	5.498650E-4
1.250000E-8	5.635686E-4
1.260000E-8	5.310225E-4
1.270000E-8	4.094031E-4
1.280000E-8	2.775059E-4
1.290000E-8	1.627383E-4
1.300000E-8	1.541735E-4
1.310000E-8	2.261174E-4
1.320000E-8	3.288944E-4
1.330000E-8	4.094031E-4
1.340000E-8	4.453750E-4
1.350000E-8	3.751441E-4
1.360000E-8	2.826448E-4
1.370000E-8	2.226915E-4
1.380000E-8	2.124138E-4
1.390000E-8	2.843577E-4
1.400000E-8	3.528757E-4
1.410000E-8	4.470880E-4
1.420000E-8	5.001894E-4
1.430000E-8	4.727822E-4
1.440000E-8	3.665793E-4
1.450000E-8	3.271815E-4
1.460000E-8	3.682923E-4
1.470000E-8	4.625045E-4
1.480000E-8	6.029664E-4
1.490000E-8	7.468542E-4
1.500000E-8	8.993068E-4
1.510000E-8	9.918061E-4
1.520000E-8	1.075741E-3
1.530000E-8	1.055185E-3
1.540000E-8	9.781025E-4
1.550000E-8	8.170852E-4
1.560000E-8	6.817621E-4
1.570000E-8	5.327355E-4
1.580000E-8	4.916247E-4
1.590000E-8	5.138930E-4
1.600000E-8	5.926887E-4
1.610000E-8	6.714844E-4
1.620000E-8	6.971787E-4
1.630000E-8	6.218089E-4
1.640000E-8	5.019024E-4
1.650000E-8	3.888477E-4
1.660000E-8	3.631534E-4
1.670000E-8	4.162549E-4
1.680000E-8	5.293096E-4
1.690000E-8	6.252348E-4
1.700000E-8	7.023175E-4
1.710000E-8	6.800492E-4
1.720000E-8	5.293096E-4
1.730000E-8	2.963484E-4
1.740000E-8	9.250732E-5
1.750000E-8	-6.508409E-5
1.760000E-8	-1.096208E-4
1.770000E-8	-9.249129E-5
1.780000E-8	-1.712149E-5
1.790000E-8	9.250732E-5
1.800000E-8	2.175527E-4
1.810000E-8	3.665793E-4
1.820000E-8	4.470880E-4
1.830000E-8	4.350973E-4
1.840000E-8	3.443110E-4
1.850000E-8	2.500987E-4
1.860000E-8	2.706541E-4
1.870000E-8	3.768570E-4
1.880000E-8	6.235218E-4
1.890000E-8	1.063750E-3
1.900000E-8	1.978465E-3
1.910000E-8	3.687989E-3
1.920000E-8	6.516070E-3
1.930000E-8	1.073849E-2
1.940000E-8	1.629530E-2
1.950000E-8	2.290900E-2
1.960000E-8	3.018219E-2
1.970000E-8	3.767806E-2
1.980000E-8	4.494268E-2
1.990000E-8	5.117610E-2
2.000000E-8	5.549102E-2
2.010000E-8	5.749175E-2
2.020000E-8	5.729819E-2
2.030000E-8	5.540538E-2
2.040000E-8	5.225698E-2
2.050000E-8	4.836173E-2
2.060000E-8	4.427977E-2
2.070000E-8	4.076479E-2
2.080000E-8	3.801380E-2
2.090000E-8	3.580923E-2
2.100000E-8	3.404489E-2
2.110000E-8	3.236620E-2
2.120000E-8	3.063441E-2
2.130000E-8	2.881183E-2
2.140000E-8	2.699439E-2
2.150000E-8	2.534310E-2
2.160000E-8	2.385455E-2
2.170000E-8	2.250132E-2
2.180000E-8	2.128855E-2
2.190000E-8	2.018370E-2
2.200000E-8	1.921417E-2
2.210000E-8	1.843135E-2
2.220000E-8	1.783011E-2
2.230000E-8	1.739159E-2
2.240000E-8	1.691368E-2
2.250000E-8	1.632613E-2
2.260000E-8	1.556730E-2
2.270000E-8	1.465258E-2
2.280000E-8	1.378412E-2
2.290000E-8	1.304412E-2
2.300000E-8	1.260389E-2
2.310000E-8	1.238978E-2
2.320000E-8	1.235894E-2
2.330000E-8	1.228186E-2
2.340000E-8	1.209172E-2
2.350000E-8	1.168404E-2
2.360000E-8	1.112391E-2
2.370000E-8	1.049697E-2
2.380000E-8	1.002933E-2
2.390000E-8	9.739842E-3
2.400000E-8	9.736416E-3
2.410000E-8	9.935118E-3
2.420000E-8	1.013553E-2
2.430000E-8	1.020576E-2
2.440000E-8	9.945396E-3
2.450000E-8	9.368132E-3
2.460000E-8	8.593878E-3
2.470000E-8	7.812773E-3
2.480000E-8	7.256064E-3
2.490000E-8	7.132732E-3
2.500000E-8	7.429072E-3
2.510000E-8	7.934393E-3
2.520000E-8	8.453417E-3
2.530000E-8	8.765173E-3
2.540000E-8	8.710359E-3
2.550000E-8	8.292399E-3
2.560000E-8	7.720274E-3
2.570000E-8	7.190972E-3
2.580000E-8	6.839818E-3
2.590000E-8	6.778151E-3
2.600000E-8	6.988844E-3
2.610000E-8	7.338286E-3
2.620000E-8	7.602080E-3
2.630000E-8	7.672311E-3
2.640000E-8	7.569534E-3
2.650000E-8	7.310879E-3
2.660000E-8	7.024816E-3
2.670000E-8	6.766161E-3
2.680000E-8	6.622273E-3
2.690000E-8	6.567459E-3
2.700000E-8	6.654819E-3
2.710000E-8	6.814123E-3
2.720000E-8	6.993983E-3
2.730000E-8	7.117315E-3
2.740000E-8	7.192685E-3
2.750000E-8	7.119028E-3
2.760000E-8	6.901484E-3
2.770000E-8	6.600005E-3
2.780000E-8	6.308803E-3
2.790000E-8	6.043296E-3
2.800000E-8	5.928528E-3
2.810000E-8	5.988481E-3
2.820000E-8	6.134082E-3
2.830000E-8	6.355053E-3
2.840000E-8	6.538338E-3
2.850000E-8	6.615421E-3
2.860000E-8	6.548616E-3
2.870000E-8	6.403015E-3
2.880000E-8	6.204313E-3
2.890000E-8	6.103249E-3
2.900000E-8	6.099823E-3
2.910000E-8	6.188897E-3
2.920000E-8	6.325933E-3
2.930000E-8	6.372182E-3
2.940000E-8	6.312229E-3
2.950000E-8	6.147786E-3
2.960000E-8	5.894269E-3
2.970000E-8	5.678437E-3
2.980000E-8	5.510568E-3
2.990000E-8	5.462606E-3
3.000000E-8	5.515707E-3
3.010000E-8	5.637327E-3
3.020000E-8	5.733252E-3
3.030000E-8	5.769224E-3
3.040000E-8	5.704132E-3
3.050000E-8	5.609919E-3
3.060000E-8	5.447189E-3
3.070000E-8	5.337560E-3
3.080000E-8	5.267329E-3
3.090000E-8	5.257052E-3
3.100000E-8	5.277607E-3
3.110000E-8	5.245061E-3
3.120000E-8	5.221080E-3
3.130000E-8	5.149136E-3
3.140000E-8	5.063488E-3
3.150000E-8	4.965850E-3
3.160000E-8	4.917888E-3
3.170000E-8	4.957285E-3
3.180000E-8	5.032655E-3
3.190000E-8	5.152562E-3
3.200000E-8	5.294737E-3
3.210000E-8	5.366681E-3
3.220000E-8	5.364968E-3
3.230000E-8	5.245061E-3
3.240000E-8	5.025803E-3
3.250000E-8	4.803120E-3
3.260000E-8	4.636964E-3
3.270000E-8	4.594140E-3
3.280000E-8	4.611270E-3
3.290000E-8	4.664371E-3
3.300000E-8	4.746593E-3
3.310000E-8	4.796268E-3
3.320000E-8	4.794555E-3
3.330000E-8	4.780852E-3
3.340000E-8	4.806546E-3
3.350000E-8	4.847657E-3
3.360000E-8	4.914462E-3
3.370000E-8	4.981267E-3
3.380000E-8	5.017239E-3
3.390000E-8	5.051498E-3
3.400000E-8	5.096034E-3
3.410000E-8	5.114877E-3
3.420000E-8	5.073766E-3
3.430000E-8	4.940156E-3
3.440000E-8	4.720898E-3
3.450000E-8	4.489650E-3
3.460000E-8	4.308077E-3
3.470000E-8	4.242985E-3
3.480000E-8	4.313216E-3
3.490000E-8	4.489650E-3
3.500000E-8	4.763722E-3
3.510000E-8	4.962424E-3
3.520000E-8	5.080618E-3
3.530000E-8	5.087470E-3
3.540000E-8	5.039507E-3
3.550000E-8	5.000109E-3
3.560000E-8	4.948721E-3
3.570000E-8	4.926452E-3
3.580000E-8	4.935017E-3
3.590000E-8	4.899045E-3
3.600000E-8	4.767148E-3
3.610000E-8	4.575298E-3
3.620000E-8	4.400577E-3
3.630000E-8	4.246411E-3
3.640000E-8	4.104236E-3
3.650000E-8	4.013450E-3
3.660000E-8	3.984330E-3
3.670000E-8	4.020302E-3
3.680000E-8	4.126505E-3
3.690000E-8	4.313216E-3
3.700000E-8	4.486224E-3
3.710000E-8	4.618121E-3
3.720000E-8	4.636964E-3
3.730000E-8	4.578724E-3
3.740000E-8	4.417706E-3
3.750000E-8	4.296087E-3
3.760000E-8	4.225856E-3
3.770000E-8	4.195023E-3
3.780000E-8	4.183032E-3
3.790000E-8	4.183032E-3
3.800000E-8	4.208726E-3
3.810000E-8	4.200162E-3
3.820000E-8	4.188171E-3
3.830000E-8	4.150486E-3
3.840000E-8	4.153912E-3
3.850000E-8	4.136782E-3
3.860000E-8	4.061413E-3
3.870000E-8	3.987756E-3
3.880000E-8	4.032292E-3
3.890000E-8	4.045996E-3
3.900000E-8	4.047709E-3
3.910000E-8	4.027154E-3
3.920000E-8	3.960349E-3
3.930000E-8	3.854146E-3
3.940000E-8	3.780489E-3
3.950000E-8	3.754795E-3
3.960000E-8	3.746230E-3
3.970000E-8	3.789054E-3
3.980000E-8	3.869562E-3
3.990000E-8	3.984330E-3
4.000000E-8	4.111088E-3
4.010000E-8	4.208726E-3
4.020000E-8	4.296087E-3
4.030000E-8	4.352614E-3
4.040000E-8	4.290948E-3
4.050000E-8	4.155625E-3
4.060000E-8	4.056274E-3
4.070000E-8	3.946645E-3
4.080000E-8	3.881553E-3
4.090000E-8	3.855859E-3
4.100000E-8	3.833590E-3
4.110000E-8	3.751369E-3
4.120000E-8	3.532111E-3
4.130000E-8	3.280307E-3
4.140000E-8	3.093596E-3
4.150000E-8	3.045633E-3
4.160000E-8	3.153549E-3
4.170000E-8	3.357390E-3
4.180000E-8	3.562944E-3
4.190000E-8	3.758220E-3
4.200000E-8	3.855859E-3
4.210000E-8	3.912386E-3
4.220000E-8	3.932941E-3
4.230000E-8	3.948358E-3
4.240000E-8	3.917525E-3
4.250000E-8	3.813035E-3
4.260000E-8	3.607481E-3
4.270000E-8	3.453315E-3
4.280000E-8	3.381371E-3
4.290000E-8	3.401927E-3
4.300000E-8	3.537250E-3
4.310000E-8	3.614333E-3
4.320000E-8	3.640027E-3
4.330000E-8	3.631462E-3
4.340000E-8	3.559518E-3
4.350000E-8	3.511556E-3
4.360000E-8	3.446464E-3
4.370000E-8	3.427621E-3
4.380000E-8	3.401927E-3
4.390000E-8	3.355677E-3
4.400000E-8	3.278594E-3
4.410000E-8	3.234058E-3
4.420000E-8	3.258039E-3
4.430000E-8	3.333409E-3
4.440000E-8	3.420769E-3
4.450000E-8	3.458454E-3
4.460000E-8	3.396788E-3
4.470000E-8	3.323131E-3
4.480000E-8	3.252900E-3
4.490000E-8	3.251187E-3
4.500000E-8	3.314566E-3
4.510000E-8	3.393362E-3
4.520000E-8	3.436186E-3
4.530000E-8	3.407066E-3
4.540000E-8	3.331696E-3
4.550000E-8	3.242622E-3
4.560000E-8	3.218641E-3
4.570000E-8	3.254613E-3
4.580000E-8	3.371094E-3
4.590000E-8	3.492713E-3
4.600000E-8	3.580074E-3
4.610000E-8	3.566370E-3
4.620000E-8	3.467019E-3
4.630000E-8	3.283733E-3
4.640000E-8	3.124429E-3
4.650000E-8	2.966838E-3
