Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_165C
Operator	Keshav
Date	5/14/2025
Time	19:15
Sign	POS
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	8
dt	50.000001E-12
time stamp (ms)	7:23:50 PM
	
Time	Amplitude
0.000000E+0	-2.141093E-4
5.000000E-11	-1.815633E-4
1.000000E-10	-1.558690E-4
1.500000E-10	-1.370266E-4
2.000000E-10	-1.130453E-4
2.500000E-10	-9.248990E-5
3.000000E-10	-8.563810E-5
3.500000E-10	-8.392515E-5
4.000000E-10	-7.536040E-5
4.500000E-10	-7.536040E-5
5.000000E-10	-8.563810E-5
5.500000E-10	-8.906400E-5
6.000000E-10	-8.735105E-5
6.500000E-10	-9.762875E-5
7.000000E-10	-1.267489E-4
7.500000E-10	-1.490172E-4
8.000000E-10	-1.661467E-4
8.500000E-10	-1.764244E-4
9.000000E-10	-1.627208E-4
9.500000E-10	-1.318877E-4
1.000000E-9	-1.044805E-4
1.050000E-9	-8.563810E-5
1.100000E-9	-6.679565E-5
1.150000E-9	-5.823089E-5
1.200000E-9	-6.165679E-5
1.250000E-9	-5.994384E-5
1.300000E-9	-4.795319E-5
1.350000E-9	-3.938844E-5
1.400000E-9	-3.596254E-5
1.450000E-9	-2.911074E-5
1.500000E-9	-2.225894E-5
1.550000E-9	-5.129443E-6
1.600000E-9	2.570366E-5
1.650000E-9	5.653676E-5
1.700000E-9	7.537921E-5
1.750000E-9	8.736986E-5
1.800000E-9	8.051806E-5
1.850000E-9	3.598136E-5
1.900000E-9	-3.767549E-5
1.950000E-9	-1.198971E-4
2.000000E-9	-2.141093E-4
2.050000E-9	-3.151734E-4
2.100000E-9	-4.042468E-4
2.150000E-9	-4.693389E-4
2.200000E-9	-5.173015E-4
2.250000E-9	-5.429958E-4
2.300000E-9	-5.361440E-4
2.350000E-9	-4.967461E-4
2.400000E-9	-4.350799E-4
2.450000E-9	-3.648490E-4
2.500000E-9	-2.929051E-4
2.550000E-9	-2.261000E-4
2.600000E-9	-1.678597E-4
2.650000E-9	-1.250359E-4
2.700000E-9	-1.130453E-4
2.750000E-9	-1.387395E-4
2.800000E-9	-1.884151E-4
