Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_250C
Operator	Keshav
Date	5/14/2025
Time	19:56
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	8:01:11 PM
	
Time	Amplitude
0.000000E+0	7.160255E-4
5.000000E-11	7.400068E-4
1.000000E-10	7.845435E-4
1.500000E-10	8.564874E-4
2.000000E-10	9.421349E-4
2.500000E-10	1.014079E-3
3.000000E-10	1.072319E-3
3.500000E-10	1.127134E-3
4.000000E-10	1.171670E-3
4.500000E-10	1.188800E-3
5.000000E-10	1.164818E-3
5.500000E-10	1.104865E-3
6.000000E-10	1.007227E-3
6.500000E-10	8.907464E-4
7.000000E-10	7.913953E-4
7.500000E-10	7.228773E-4
8.000000E-10	6.732018E-4
8.500000E-10	6.389428E-4
9.000000E-10	6.526464E-4
9.500000E-10	6.886183E-4
1.000000E-9	7.143126E-4
1.050000E-9	7.417198E-4
1.100000E-9	7.999601E-4
1.150000E-9	8.633392E-4
1.200000E-9	8.907464E-4
1.250000E-9	8.924594E-4
1.300000E-9	8.958853E-4
1.350000E-9	8.856076E-4
1.400000E-9	8.547745E-4
1.450000E-9	8.290802E-4
1.500000E-9	8.188025E-4
1.550000E-9	8.016730E-4
1.600000E-9	7.862565E-4
1.650000E-9	7.913953E-4
1.700000E-9	8.102378E-4
1.750000E-9	8.222284E-4
1.800000E-9	8.393579E-4
1.850000E-9	8.582004E-4
1.900000E-9	8.616263E-4
1.950000E-9	8.427838E-4
2.000000E-9	8.205155E-4
2.050000E-9	8.290802E-4
2.100000E-9	8.633392E-4
2.150000E-9	8.924594E-4
2.200000E-9	9.147277E-4
2.250000E-9	9.506997E-4
2.300000E-9	9.952364E-4
2.350000E-9	1.031208E-3
2.400000E-9	1.046625E-3
2.450000E-9	1.044912E-3
2.500000E-9	1.020931E-3
2.550000E-9	9.712551E-4
2.600000E-9	8.941723E-4
2.650000E-9	8.085248E-4
2.700000E-9	7.297291E-4
2.750000E-9	6.543593E-4
2.800000E-9	6.063967E-4
2.850000E-9	6.046838E-4
2.900000E-9	6.457946E-4
2.950000E-9	7.040349E-4
3.000000E-9	7.759788E-4
3.050000E-9	8.582004E-4
3.100000E-9	9.387090E-4
3.150000E-9	1.015792E-3
3.200000E-9	1.084310E-3
3.250000E-9	1.142550E-3
3.300000E-9	1.188800E-3
3.350000E-9	1.200790E-3
3.400000E-9	1.192226E-3
3.450000E-9	1.175096E-3
3.500000E-9	1.145976E-3
3.550000E-9	1.084310E-3
3.600000E-9	1.010653E-3
3.650000E-9	9.404220E-4
3.700000E-9	8.582004E-4
3.750000E-9	7.862565E-4
3.800000E-9	7.485716E-4
3.850000E-9	7.314421E-4
3.900000E-9	7.331550E-4
3.950000E-9	7.776917E-4
