Study Name	PremaTech_CVD_SiC_Heating_Trial_W_CoPremaTech_CVD_SiC_Heating_Wcoat
Sample Name	2025-05-14
Run Name	Heating_trial_250C
Operator	Keshav
Date	5/14/2025
Time	19:56
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	6
dt	50.000001E-12
time stamp (ms)	8:02:16 PM
	
Time	Amplitude
0.000000E+0	-1.077449E-3
5.000000E-11	-1.075736E-3
1.000000E-10	-1.077449E-3
1.500000E-10	-1.108282E-3
2.000000E-10	-1.157957E-3
2.500000E-10	-1.195642E-3
3.000000E-10	-1.217910E-3
3.500000E-10	-1.231614E-3
4.000000E-10	-1.236753E-3
4.500000E-10	-1.221336E-3
5.000000E-10	-1.193929E-3
5.500000E-10	-1.171661E-3
6.000000E-10	-1.154531E-3
6.500000E-10	-1.151105E-3
7.000000E-10	-1.156244E-3
7.500000E-10	-1.169948E-3
8.000000E-10	-1.200781E-3
8.500000E-10	-1.252169E-3
9.000000E-10	-1.306984E-3
9.500000E-10	-1.363511E-3
1.000000E-9	-1.416613E-3
1.050000E-9	-1.461149E-3
1.100000E-9	-1.485131E-3
1.150000E-9	-1.512538E-3
1.200000E-9	-1.546797E-3
1.250000E-9	-1.569065E-3
1.300000E-9	-1.567352E-3
1.350000E-9	-1.534806E-3
1.400000E-9	-1.485131E-3
1.450000E-9	-1.416613E-3
1.500000E-9	-1.351521E-3
1.550000E-9	-1.296706E-3
1.600000E-9	-1.259021E-3
1.650000E-9	-1.226475E-3
1.700000E-9	-1.195642E-3
1.750000E-9	-1.176800E-3
1.800000E-9	-1.200781E-3
1.850000E-9	-1.257308E-3
1.900000E-9	-1.334391E-3
1.950000E-9	-1.420039E-3
2.000000E-9	-1.505686E-3
2.050000E-9	-1.574204E-3
2.100000E-9	-1.620454E-3
2.150000E-9	-1.641009E-3
2.200000E-9	-1.613602E-3
2.250000E-9	-1.529667E-3
2.300000E-9	-1.401196E-3
2.350000E-9	-1.241892E-3
2.400000E-9	-1.070597E-3
2.450000E-9	-9.095795E-4
2.500000E-9	-7.588399E-4
2.550000E-9	-6.320816E-4
2.600000E-9	-5.601377E-4
2.650000E-9	-5.515729E-4
2.700000E-9	-5.858319E-4
2.750000E-9	-6.543499E-4
2.800000E-9	-7.742564E-4
2.850000E-9	-9.369867E-4
2.900000E-9	-1.109995E-3
2.950000E-9	-1.265873E-3
3.000000E-9	-1.394344E-3
3.050000E-9	-1.478279E-3
3.100000E-9	-1.519390E-3
3.150000E-9	-1.515964E-3
3.200000E-9	-1.466288E-3
3.250000E-9	-1.394344E-3
3.300000E-9	-1.313836E-3
3.350000E-9	-1.209346E-3
3.400000E-9	-1.067171E-3
3.450000E-9	-9.335608E-4
3.500000E-9	-8.324967E-4
3.550000E-9	-7.399974E-4
3.600000E-9	-6.560629E-4
3.650000E-9	-6.115262E-4
3.700000E-9	-6.166650E-4
