Study Name	PremaTech_CVD_SiC_HeandSi
Sample Name	2025-05-15
Run Name	spot20
Operator	Keshav
Date	5/15/2025
Time	21:05
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	9:10:02 PM
	
Time	Amplitude
0.000000E+0	3.974190E-4
5.000000E-11	3.614470E-4
1.000000E-10	3.391787E-4
1.500000E-10	3.340398E-4
2.000000E-10	3.477434E-4
2.500000E-10	3.768636E-4
3.000000E-10	4.094096E-4
3.500000E-10	4.436686E-4
4.000000E-10	4.710758E-4
4.500000E-10	4.813535E-4
5.000000E-10	4.710758E-4
5.500000E-10	4.522334E-4
6.000000E-10	4.316780E-4
6.500000E-10	4.128355E-4
7.000000E-10	4.076967E-4
7.500000E-10	4.196873E-4
8.000000E-10	4.453816E-4
8.500000E-10	4.984830E-4
9.000000E-10	5.824176E-4
9.500000E-10	6.732039E-4
1.000000E-9	7.691291E-4
1.050000E-9	8.838968E-4
1.100000E-9	9.815349E-4
1.150000E-9	1.027785E-3
1.200000E-9	1.032923E-3
1.250000E-9	1.026072E-3
1.300000E-9	9.832479E-4
1.350000E-9	8.907486E-4
1.400000E-9	7.828327E-4
1.450000E-9	6.646392E-4
1.500000E-9	5.241773E-4
1.550000E-9	3.871413E-4
1.600000E-9	2.740866E-4
1.650000E-9	1.867261E-4
1.700000E-9	1.216340E-4
1.750000E-9	8.908796E-5
1.800000E-9	8.394911E-5
1.850000E-9	1.010786E-4
1.900000E-9	1.421894E-4
1.950000E-9	2.004297E-4
2.000000E-9	2.586700E-4
2.050000E-9	3.151974E-4
2.100000E-9	3.631600E-4
2.150000E-9	3.785765E-4
2.200000E-9	3.580211E-4
2.250000E-9	3.306139E-4
2.300000E-9	2.912161E-4
2.350000E-9	2.312628E-4
2.400000E-9	1.593189E-4
2.450000E-9	8.223616E-5
2.500000E-9	3.440457E-6
2.550000E-9	-5.822575E-5
2.600000E-9	-7.878115E-5
2.650000E-9	-8.220705E-5
2.700000E-9	-7.706820E-5
2.750000E-9	-3.253149E-5
2.800000E-9	6.168076E-5
2.850000E-9	1.713096E-4
2.900000E-9	2.757995E-4
2.950000E-9	3.837154E-4
3.000000E-9	4.899183E-4
3.050000E-9	5.721399E-4
3.100000E-9	6.252413E-4
3.150000E-9	6.457967E-4
3.200000E-9	6.355190E-4
3.250000E-9	5.961212E-4
3.300000E-9	5.361679E-4
3.350000E-9	4.727888E-4
3.400000E-9	4.231132E-4
3.450000E-9	3.802895E-4
3.500000E-9	3.460305E-4
3.550000E-9	3.289010E-4
3.600000E-9	3.391787E-4
3.650000E-9	3.563082E-4
3.700000E-9	3.734377E-4
3.750000E-9	4.076967E-4
3.800000E-9	4.539463E-4
3.850000E-9	4.796406E-4
3.900000E-9	4.642240E-4
3.950000E-9	4.333909E-4
4.000000E-9	4.008449E-4
4.050000E-9	3.528823E-4
4.100000E-9	2.775125E-4
4.150000E-9	2.021427E-4
4.200000E-9	1.439024E-4
4.250000E-9	1.062175E-4
4.300000E-9	8.052321E-5
4.350000E-9	7.881026E-5
4.400000E-9	1.147822E-4
4.450000E-9	1.867261E-4
4.500000E-9	2.792254E-4
4.550000E-9	3.837154E-4
4.600000E-9	4.933442E-4
4.650000E-9	6.081118E-4
4.700000E-9	7.057500E-4
4.750000E-9	7.605644E-4
4.800000E-9	7.742680E-4
4.850000E-9	7.519996E-4
4.900000E-9	6.886205E-4
4.950000E-9	5.875564E-4
5.000000E-9	4.625111E-4
5.050000E-9	3.254751E-4
5.100000E-9	1.884391E-4
5.150000E-9	7.538436E-5
5.200000E-9	-1.026314E-5
5.250000E-9	-6.850345E-5
5.300000E-9	-8.220705E-5
5.350000E-9	-3.424444E-5
5.400000E-9	5.482896E-5
5.450000E-9	1.593189E-4
5.500000E-9	2.706607E-4
5.550000E-9	3.802895E-4
5.600000E-9	4.745017E-4
5.650000E-9	5.413068E-4
5.700000E-9	5.652881E-4
5.750000E-9	5.550104E-4
5.800000E-9	5.276032E-4
5.850000E-9	4.830665E-4
5.900000E-9	4.111226E-4
5.950000E-9	3.374657E-4
6.000000E-9	2.826513E-4
6.050000E-9	2.415405E-4
6.100000E-9	2.226981E-4
6.150000E-9	2.483923E-4
6.200000E-9	3.083456E-4
6.250000E-9	3.751506E-4
6.300000E-9	4.625111E-4
6.350000E-9	5.687140E-4
6.400000E-9	6.629262E-4
6.450000E-9	7.382960E-4
6.500000E-9	7.896845E-4
6.550000E-9	8.170917E-4
6.600000E-9	8.307953E-4
6.650000E-9	8.307953E-4
6.700000E-9	7.896845E-4
6.750000E-9	7.074629E-4
6.800000E-9	6.269543E-4
6.850000E-9	5.550104E-4
6.900000E-9	4.659370E-4
6.950000E-9	3.785765E-4
7.000000E-9	3.357528E-4
7.050000E-9	3.254751E-4
7.100000E-9	3.254751E-4
7.150000E-9	3.426046E-4
7.200000E-9	3.751506E-4
7.250000E-9	4.059837E-4
7.300000E-9	4.436686E-4
7.350000E-9	4.830665E-4
7.400000E-9	5.053348E-4
7.450000E-9	5.138996E-4
7.500000E-9	5.258902E-4
7.550000E-9	5.258902E-4
7.600000E-9	5.019089E-4
7.650000E-9	4.607981E-4
7.700000E-9	4.094096E-4
7.750000E-9	3.597341E-4
7.800000E-9	3.220492E-4
7.850000E-9	2.860772E-4
7.900000E-9	2.620959E-4
7.950000E-9	2.723736E-4
8.000000E-9	2.895031E-4
8.050000E-9	2.723736E-4
8.100000E-9	2.535312E-4
8.150000E-9	2.586700E-4
8.200000E-9	2.569571E-4
8.250000E-9	2.381146E-4
8.300000E-9	2.329758E-4
8.350000E-9	2.398276E-4
8.400000E-9	2.346887E-4
8.450000E-9	2.312628E-4
8.500000E-9	2.295499E-4
8.550000E-9	2.295499E-4
8.600000E-9	2.415405E-4
8.650000E-9	2.723736E-4
8.700000E-9	2.963549E-4
8.750000E-9	3.186233E-4
8.800000E-9	3.563082E-4
8.850000E-9	3.974190E-4
8.900000E-9	4.231132E-4
8.950000E-9	4.385298E-4
9.000000E-9	4.488075E-4
9.050000E-9	4.505204E-4
9.100000E-9	4.368168E-4
9.150000E-9	4.196873E-4
9.200000E-9	4.214003E-4
9.250000E-9	4.316780E-4
9.300000E-9	4.419557E-4
9.350000E-9	4.539463E-4
9.400000E-9	4.882053E-4
9.450000E-9	5.413068E-4
9.500000E-9	5.875564E-4
9.550000E-9	6.149636E-4
9.600000E-9	6.252413E-4
9.650000E-9	6.286672E-4
9.700000E-9	6.235284E-4
9.750000E-9	6.081118E-4
9.800000E-9	5.807046E-4
9.850000E-9	5.618622E-4
9.900000E-9	5.687140E-4
9.950000E-9	5.824176E-4
1.000000E-8	5.858435E-4
1.005000E-8	5.824176E-4
1.010000E-8	5.909823E-4
1.015000E-8	5.995471E-4
1.020000E-8	5.978341E-4
1.025000E-8	5.807046E-4
