Study Name	SiC_phase_study
Sample Name	2025-11-07
Run Name	spot05
Operator	Keshav
Date	11/7/2025
Time	18:24
Sign	FIX
Grating Spacing	08.80um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	6:29:46 PM
	
Time	Amplitude
0.000000E+0	-2.295153E-4
5.000000E-11	-2.843298E-4
1.000000E-10	-3.203017E-4
1.500000E-10	-3.322924E-4
2.000000E-10	-3.340053E-4
2.500000E-10	-3.528478E-4
3.000000E-10	-3.922456E-4
3.500000E-10	-4.350694E-4
4.000000E-10	-4.881708E-4
4.500000E-10	-5.532629E-4
5.000000E-10	-6.012255E-4
5.500000E-10	-6.269198E-4
6.000000E-10	-6.234939E-4
6.500000E-10	-5.960867E-4
7.000000E-10	-5.275687E-4
7.500000E-10	-4.162269E-4
8.000000E-10	-2.757650E-4
8.500000E-10	-1.198865E-4
9.000000E-10	4.626961E-5
9.500000E-10	2.124258E-4
1.000000E-9	3.426100E-4
1.050000E-9	4.059891E-4
1.100000E-9	4.008503E-4
1.150000E-9	3.477488E-4
1.200000E-9	2.689531E-4
1.250000E-9	1.713150E-4
1.300000E-9	5.483436E-5
1.350000E-9	-6.164624E-5
1.400000E-9	-1.609973E-4
1.450000E-9	-2.500707E-4
1.500000E-9	-3.254406E-4
1.550000E-9	-3.579866E-4
1.600000E-9	-3.425701E-4
1.650000E-9	-3.185888E-4
1.700000E-9	-3.014593E-4
1.750000E-9	-2.809039E-4
1.800000E-9	-2.706262E-4
1.850000E-9	-2.620614E-4
1.900000E-9	-2.449319E-4
1.950000E-9	-2.243765E-4
2.000000E-9	-2.158117E-4
2.050000E-9	-2.192376E-4
2.100000E-9	-2.243765E-4
2.150000E-9	-2.140988E-4
2.200000E-9	-1.541455E-4
2.250000E-9	-6.164624E-5
2.300000E-9	4.113076E-5
2.350000E-9	1.747409E-4
2.400000E-9	3.408970E-4
2.450000E-9	4.762201E-4
2.500000E-9	5.635805E-4
2.550000E-9	6.235338E-4
2.600000E-9	6.543669E-4
2.650000E-9	6.458021E-4
2.700000E-9	6.132561E-4
2.750000E-9	5.584417E-4
2.800000E-9	4.745071E-4
2.850000E-9	3.905726E-4
2.900000E-9	3.374711E-4
2.950000E-9	3.083510E-4
3.000000E-9	2.980733E-4
3.050000E-9	3.134898E-4
3.100000E-9	3.460359E-4
3.150000E-9	3.991373E-4
3.200000E-9	4.710812E-4
3.250000E-9	5.361733E-4
3.300000E-9	5.550158E-4
3.350000E-9	5.361733E-4
3.400000E-9	4.864978E-4
3.450000E-9	3.922855E-4
3.500000E-9	2.569625E-4
3.550000E-9	1.079358E-4
3.600000E-9	-4.280379E-5
3.650000E-9	-1.849786E-4
3.700000E-9	-2.843298E-4
3.750000E-9	-3.203017E-4
3.800000E-9	-2.911816E-4
3.850000E-9	-2.038211E-4
3.900000E-9	-7.363689E-5
3.950000E-9	8.395451E-5
4.000000E-9	2.518236E-4
4.050000E-9	4.128409E-4
4.100000E-9	5.481640E-4
4.150000E-9	6.577928E-4
4.200000E-9	7.451532E-4
4.250000E-9	7.982547E-4
4.300000E-9	8.085324E-4
4.350000E-9	7.862640E-4
4.400000E-9	7.177460E-4
4.450000E-9	6.046913E-4
4.500000E-9	4.745071E-4
4.550000E-9	3.528877E-4
4.600000E-9	2.415459E-4
4.650000E-9	1.404819E-4
4.700000E-9	3.427896E-5
4.750000E-9	-7.534984E-5
4.800000E-9	-1.661362E-4
4.850000E-9	-2.329412E-4
4.900000E-9	-2.774780E-4
4.950000E-9	-2.843298E-4
5.000000E-9	-2.466448E-4
5.050000E-9	-1.935434E-4
5.100000E-9	-1.301642E-4
5.150000E-9	-3.252609E-5
5.200000E-9	7.196386E-5
5.250000E-9	1.404819E-4
5.300000E-9	1.833056E-4
5.350000E-9	2.209905E-4
5.400000E-9	2.466848E-4
5.450000E-9	2.552495E-4
5.500000E-9	2.501107E-4
5.550000E-9	2.227035E-4
5.600000E-9	1.815927E-4
5.650000E-9	1.370560E-4
5.700000E-9	7.881566E-5
5.750000E-9	-1.692992E-6
5.800000E-9	-6.507214E-5
5.850000E-9	-9.419229E-5
5.900000E-9	-8.562754E-5
5.950000E-9	-4.622969E-5
6.000000E-9	3.941781E-5
6.050000E-9	1.456207E-4
6.100000E-9	2.621013E-4
6.150000E-9	3.871467E-4
6.200000E-9	5.139050E-4
6.250000E-9	6.115431E-4
6.300000E-9	6.714964E-4
6.350000E-9	7.126072E-4
6.400000E-9	7.331626E-4
6.450000E-9	7.057554E-4
6.500000E-9	6.201079E-4
6.550000E-9	4.899237E-4
6.600000E-9	3.340452E-4
6.650000E-9	1.884445E-4
6.700000E-9	6.339911E-5
6.750000E-9	-4.965559E-5
6.800000E-9	-1.404419E-4
6.850000E-9	-1.969693E-4
6.900000E-9	-2.123858E-4
6.950000E-9	-1.866916E-4
7.000000E-9	-1.284513E-4
7.050000E-9	-5.479444E-5
7.100000E-9	2.228831E-5
7.150000E-9	9.765811E-5
7.200000E-9	1.576114E-4
7.250000E-9	1.815927E-4
7.300000E-9	1.610373E-4
7.350000E-9	9.937106E-5
7.400000E-9	1.372356E-5
7.450000E-9	-8.220164E-5
7.500000E-9	-1.866916E-4
7.550000E-9	-2.963204E-4
7.600000E-9	-3.973845E-4
7.650000E-9	-4.864579E-4
7.700000E-9	-5.635406E-4
7.750000E-9	-6.046514E-4
7.800000E-9	-5.960867E-4
7.850000E-9	-5.481241E-4
7.900000E-9	-4.521989E-4
7.950000E-9	-3.237276E-4
8.000000E-9	-1.901175E-4
8.050000E-9	-7.021099E-5
8.100000E-9	4.969551E-5
8.150000E-9	1.473337E-4
8.200000E-9	2.107128E-4
8.250000E-9	2.569625E-4
8.300000E-9	2.997862E-4
8.350000E-9	3.203416E-4
8.400000E-9	3.203416E-4
8.450000E-9	3.186287E-4
8.500000E-9	3.152028E-4
8.550000E-9	3.049251E-4
8.600000E-9	2.963603E-4
8.650000E-9	2.912215E-4
8.700000E-9	2.826567E-4
8.750000E-9	2.740920E-4
8.800000E-9	2.621013E-4
8.850000E-9	2.638143E-4
8.900000E-9	2.638143E-4
8.950000E-9	2.483977E-4
9.000000E-9	2.244164E-4
9.050000E-9	2.124258E-4
9.100000E-9	2.175646E-4
9.150000E-9	2.209905E-4
9.200000E-9	2.141387E-4
9.250000E-9	2.004351E-4
9.300000E-9	2.124258E-4
9.350000E-9	2.603884E-4
9.400000E-9	3.443229E-4
9.450000E-9	4.453870E-4
9.500000E-9	5.498769E-4
9.550000E-9	6.646446E-4
9.600000E-9	7.794122E-4
9.650000E-9	8.684856E-4
9.700000E-9	9.233000E-4
9.750000E-9	9.404295E-4
9.800000E-9	9.130223E-4
9.850000E-9	8.205230E-4
9.900000E-9	6.800611E-4
9.950000E-9	5.070532E-4
1.000000E-8	2.912215E-4
1.005000E-8	6.682501E-5
1.010000E-8	-1.421549E-4
1.015000E-8	-3.185888E-4
1.020000E-8	-4.607636E-4
1.025000E-8	-5.361334E-4
1.030000E-8	-5.378464E-4
1.035000E-8	-4.967356E-4
1.040000E-8	-4.316435E-4
1.045000E-8	-3.391442E-4
1.050000E-8	-2.209506E-4
1.055000E-8	-1.027570E-4
1.060000E-8	-1.368364E-5
1.065000E-8	4.113076E-5
1.070000E-8	4.626961E-5
1.075000E-8	-8.544792E-6
1.080000E-8	-1.061829E-4
1.085000E-8	-2.209506E-4
1.090000E-8	-3.305794E-4
1.095000E-8	-4.299305E-4
1.100000E-8	-4.967356E-4
1.105000E-8	-5.395593E-4
1.110000E-8	-5.635406E-4
1.115000E-8	-5.549759E-4
1.120000E-8	-4.915967E-4
1.125000E-8	-3.871068E-4
1.130000E-8	-2.774780E-4
1.135000E-8	-1.729880E-4
1.140000E-8	-7.021099E-5
1.145000E-8	8.584708E-6
1.150000E-8	3.599191E-5
1.155000E-8	1.714946E-5
1.160000E-8	-6.831842E-6
1.165000E-8	-3.081314E-5
1.170000E-8	-7.192394E-5
1.175000E-8	-1.181736E-4
1.180000E-8	-1.284513E-4
1.185000E-8	-1.010441E-4
1.190000E-8	-5.479444E-5
1.195000E-8	1.995795E-8
1.200000E-8	6.682501E-5
1.205000E-8	1.404819E-4
1.210000E-8	2.141387E-4
1.215000E-8	2.501107E-4
1.220000E-8	2.449718E-4
1.225000E-8	2.141387E-4
1.230000E-8	1.661761E-4
1.235000E-8	9.423221E-5
1.240000E-8	2.914011E-5
1.245000E-8	6.871758E-6
1.250000E-8	5.158808E-6
1.255000E-8	1.995795E-8
1.260000E-8	1.372356E-5
1.265000E-8	4.626961E-5
1.270000E-8	9.080631E-5
1.275000E-8	1.353430E-4
1.280000E-8	1.815927E-4
1.285000E-8	2.192776E-4
1.290000E-8	2.381200E-4
1.295000E-8	2.432589E-4
1.300000E-8	2.261294E-4
1.305000E-8	1.952963E-4
1.310000E-8	1.696020E-4
1.315000E-8	1.421948E-4
1.320000E-8	1.096488E-4
1.325000E-8	8.909336E-5
1.330000E-8	1.027970E-4
1.335000E-8	1.336301E-4
1.340000E-8	1.661761E-4
1.345000E-8	1.833056E-4
1.350000E-8	1.678891E-4
1.355000E-8	1.147876E-4
1.360000E-8	6.682501E-5
1.365000E-8	3.770486E-5
1.370000E-8	5.158808E-6
1.375000E-8	-5.308149E-5
1.380000E-8	-1.113218E-4
1.385000E-8	-1.524326E-4
1.390000E-8	-1.866916E-4
1.395000E-8	-2.175247E-4
1.400000E-8	-2.483578E-4
1.405000E-8	-2.586355E-4
1.410000E-8	-2.500707E-4
1.415000E-8	-2.483578E-4
1.420000E-8	-2.637744E-4
1.425000E-8	-2.946075E-4
1.430000E-8	-3.596996E-4
1.435000E-8	-4.607636E-4
1.440000E-8	-5.549759E-4
1.445000E-8	-6.474752E-4
1.450000E-8	-7.639558E-4
1.455000E-8	-8.718716E-4
1.460000E-8	-9.215472E-4
1.465000E-8	-9.301119E-4
1.470000E-8	-9.523803E-4
1.475000E-8	-9.506673E-4
1.480000E-8	-9.044177E-4
1.485000E-8	-8.324738E-4
1.490000E-8	-7.382615E-4
1.495000E-8	-6.423363E-4
1.500000E-8	-5.875219E-4
1.505000E-8	-5.823831E-4
1.510000E-8	-5.840960E-4
1.515000E-8	-5.686795E-4
1.520000E-8	-5.395593E-4
1.525000E-8	-4.710413E-4
1.530000E-8	-3.973845E-4
1.535000E-8	-3.340053E-4
1.540000E-8	-2.672003E-4
1.545000E-8	-1.695621E-4
1.550000E-8	-8.220164E-5
1.555000E-8	-1.710954E-5
1.560000E-8	5.312141E-5
1.565000E-8	1.079358E-4
1.570000E-8	1.062229E-4
1.575000E-8	7.025091E-5
1.580000E-8	3.599191E-5
1.585000E-8	6.871758E-6
1.590000E-8	-1.368364E-5
1.595000E-8	-4.109084E-5
1.600000E-8	-1.284513E-4
1.605000E-8	-2.466448E-4
1.610000E-8	-3.083111E-4
1.615000E-8	-2.997463E-4
1.620000E-8	-2.928945E-4
1.625000E-8	-2.894686E-4
1.630000E-8	-2.483578E-4
1.635000E-8	-1.644232E-4
1.640000E-8	-6.507214E-5
1.645000E-8	1.543651E-5
